BILLY-25,UCVM-25,UCVM-GTL-25
1937.841761,1946.69069281,692.945860823
2147.319381,2154.23079354,2154.23079354
2544.212941,2525.19940023,2525.19940023
3130.586363,3103.08717724,3103.08717724
3747.371461,3733.53057055,3733.53057055
4202.228581,4218.85526182,4218.85526182
4386.88486,4414.53046367,4414.53046367
4415.687759,4440.42504037,4440.42504037
4465.93714,4484.055599,4484.055599
4636.109239,4648.91818493,4648.91818493
4909.961822,4916.26737524,4916.26737524
5382.459158,5382.94576547,5382.94576547
6089.300088,6072.88956671,6072.88956671
6249.176059,6230.89287543,6230.89287543
6460.498378,6436.51180123,6436.51180123
6613.032526,6585.24869281,6585.24869281
6661.209812,6633.65679585,6633.65679585
6699.235763,6672.05256786,6672.05256786
6704.200373,6680.16390427,6680.16390427
6711.050527,6690.24871434,6690.24871434
6703.831745,6688.51000077,6688.51000077
6711.543864,6699.20989927,6699.20989927
6711.481176,6702.10289273,6702.10289273
6713.000488,6706.51529835,6706.51529835
6731.929792,6727.06557363,6727.06557363
6748.731257,6745.49068781,6745.49068781
6787.27712,6783.80093618,6783.80093618
6826.157697,6822.58245829,6822.58245829
6868.28173,6863.39002268,6863.39002268
6923.690554,6917.36714379,6917.36714379
6991.005682,6982.54534025,6982.54534025
7061.632499,7051.08267243,7051.08267243
7132.74742,7120.13014879,7120.13014879
7201.705594,7186.80406767,7186.80406767
7248.273437,7231.48626528,7231.48626528
7296.431134,7277.4495867,7277.4495867
7332.471876,7311.59335179,7311.59335179
7348.067397,7325.07021492,7325.07021492
7346.861653,7322.79185121,7322.79185121
7345.708501,7320.59883622,7320.59883622
7341.733064,7316.16271126,7316.16271126
7337.787155,7311.74541676,7311.74541676
7335.644298,7309.33680892,7309.33680892
7333.400511,7306.84388082,7306.84388082
7318.997697,7292.79693003,7292.79693003
7052.161845,7043.5862699,7043.5862699
7008.528585,7004.09972472,7004.09972472
6982.897636,6980.85027874,6980.85027874
6980.598724,6977.30397232,6977.30397232
6991.861772,6988.27644406,6988.27644406
7016.190619,7012.14221415,7012.14221415
7045.747182,7043.54329489,7043.54329489
7086.641096,7085.37924798,7085.37924798
7130.44807,7129.45967243,7129.45967243
7183.062507,7181.92684045,7181.92684045
7235.795183,7234.50272357,7234.50272357
7295.398485,7293.72190081,7293.72190081
7355.2201,7353.14842484,7353.14842484
7420.272403,7417.74361553,7417.74361553
7485.643141,7482.65031065,7482.65031065
7554.103237,7550.67401769,7550.67401769
7572.879389,7569.03205998,7569.03205998
7595.577616,7591.32644521,7591.32644521
7618.401146,7613.73819762,7613.73819762
7642.6089,7637.45955402,7637.45955402
7666.966044,7661.32584391,7661.32584391
7690.555855,7684.34771665,7684.34771665
7714.278908,7707.49672472,7707.49672472
7736.200988,7728.78883083,7728.78883083
7758.235429,7750.18851519,7750.18851519
7777.767017,7769.1289431,7769.1289431
7797.318262,7788.04706497,7788.04706497
7814.372968,7804.51202999,7804.51202999
7831.486932,7821.04240523,7821.04240523
7845.775206,7834.86750442,7834.86750442
7865.564644,7854.27975932,7854.27975932
7880.703952,7869.38057093,7869.38057093
7896.098547,7884.70496232,7884.70496232
7903.921342,7892.88316186,7892.88316186
7910.309508,7899.61353633,7899.61353633
7909.127186,7899.34407228,7899.34407228
7906.786178,7897.87344368,7897.87344368
7896.443756,7888.89340984,7888.89340984
7885.601107,7879.40204344,7879.40204344
7867.788055,7863.27907612,7863.27907612
7849.715759,7846.8785867,7846.8785867
7826.33872,7825.33675317,7825.33675317
7802.850161,7803.65871434,7803.65871434
7776.335452,7778.89105459,7778.89105459
7749.863875,7754.14746251,7754.14746251
7724.580934,7730.25530296,7730.25530296
7699.377397,7706.42487005,7706.42487005
7681.014118,7688.77555286,7688.77555286
7662.75812,7671.231198,7671.231198
7655.500458,7663.9273095,7663.9273095
7648.401373,7656.77970588,7656.77970588
7651.429566,7659.26809458,7659.26809458
7655.254306,7662.56680777,7662.56680777
7663.706317,7670.31935563,7670.31935563
7672.199569,7677.35872818,7677.35872818
