BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
1937.841761,1944.76950019,1946.69069281,1821.642,1825.077
2147.319381,2152.03897578,2154.23079354,2010.71,2009.847
2544.212941,2542.16017724,2525.19940023,2288.643,2256.385
3130.586363,3122.77415263,3103.08717724,2905.694,2841.411
3747.371461,3736.70967128,3733.53057055,3706.191,3601.922
4202.228581,4204.4669258,4218.85526182,4613.226,4470.921
4386.88486,4396.58750096,4414.53046367,3881.037,3910.384
4415.687759,4425.93185198,4440.42504037,4181.745,4198.165
4465.93714,4476.15043637,4484.055599,4304.974,4333.017
4636.109239,4646.40989504,4648.91818493,4483.235,4516.992
4909.961822,4918.45398347,4916.26737524,4802.727,4835.116
5382.459158,5387.83249596,5382.94576547,5334.216,5363.383
6089.300088,6087.70855325,6072.88956671,6167.333,6171.087
6249.176059,6247.51551173,6230.89287543,6327.694,6326.701
6460.498378,6457.21974318,6436.51180123,6560.708,6555.026
6613.032526,6608.58585429,6585.24869281,6730.568,6719.047
6661.209812,6656.72364321,6633.65679585,6783.371,6771.422
6699.235763,6694.80099962,6672.05256786,6824.256,6811.701
6704.200373,6700.28712457,6680.16390427,6827.178,6818.136
6711.050527,6707.65218493,6690.24871434,6832.081,6826.718
6703.831745,6701.27101692,6688.51000077,6818.299,6820.008
6711.543864,6710.00437332,6699.20989927,6819.677,6823.261
6711.481176,6710.71380046,6702.10289273,6811.583,6817.07
6713.000488,6712.98525029,6706.51529835,6804.737,6812.007
6731.929792,6732.19402499,6727.06557363,6818.896,6825.952
6748.731257,6749.2627005,6745.49068781,6830.315,6837.118
6787.27712,6787.56907266,6783.80093618,6866.834,6870.984
6826.157697,6826.22574779,6822.58245829,6903.68,6907.171
6868.28173,6867.81788466,6863.39002268,6942.133,6944.687
6923.690554,6922.64779123,6917.36714379,6996.268,6995.235
6991.005682,6989.25029796,6982.54534025,7061.941,7055.606
7061.632499,7059.17707997,7051.08267243,7130.726,7118.896
7132.74742,7129.72994156,7120.13014879,7199.63,7182.373
7201.705594,7198.16483852,7186.80406767,7264.36,7241.409
7248.273437,7244.47847443,7231.48626528,7303.439,7275.425
7296.431134,7292.43405459,7277.4495867,7341.191,7307.995
7332.471876,7328.67007651,7311.59335179,7361.43,7323.035
7348.067397,7344.53473626,7325.07021492,7360.801,7317.076
7346.861653,7343.87988889,7322.79185121,7344.367,7296.537
7345.708501,7343.27962438,7320.59883622,7327.882,7276.059
7341.733064,7340.0677897,7316.16271126,7308.924,7253.801
7337.787155,7336.88821069,7311.74541676,7289.799,7231.391
7335.644298,7335.59321876,7309.33680892,7273.504,7212.197
7333.400511,7334.19912457,7306.84388082,7257.121,7192.952
7318.997697,7320.9408762,7292.79693003,6825.688,7174.391
7052.161845,7062.08655056,7043.5862699,6813.112,6797.193
7008.528585,7018.02911265,7004.09972472,6827.56,6812.92
6982.897636,6991.95297578,6980.85027874,6842.454,6829.193
6980.598724,6988.70989619,6977.30397232,6866.465,6854.56
6991.861772,6996.90198155,6988.27644406,6890.337,6879.786
7016.190619,7019.70558016,7012.14221415,6924.616,6915.082
7045.747182,7049.19347597,7043.54329489,6960.966,6952.398
7086.641096,7089.95729489,7085.37924798,7006.323,6998.444
7130.44807,7133.6529777,7129.45967243,7052.124,7044.945
7183.062507,7185.95536794,7181.92684045,7108.455,7101.721
7235.795183,7238.37175932,7234.50272357,7164.921,7158.637
7295.398485,7297.51673856,7293.72190081,7229.612,7223.649
7355.2201,7356.87122299,7353.14842484,7294.606,7288.972
7420.272403,7421.38703114,7417.74361553,7365.634,7360.253
7485.643141,7486.21021492,7482.65031065,7437.112,7431.992
7554.103237,7554.11853095,7550.67401769,7511.947,7507.139
7572.879389,7572.39299731,7569.03205998,7535.875,7531.307
7595.577616,7594.59116032,7591.32644521,7564.564,7560.405
7618.401146,7616.90875509,7613.73819762,7593.454,7589.698
7642.6089,7640.70152057,7637.45955402,7623.168,7619.645
7666.966044,7664.63920838,7661.32584391,7653.101,7649.814
7690.555855,7687.94599423,7684.34771665,7681.4,7678.07
7714.278908,7711.38247059,7707.49672472,7709.894,7706.52
7736.200988,7733.1527747,7728.78883083,7736.025,7732.292
7758.235429,7755.0337228,7750.18851519,7762.317,7758.218
7777.767017,7774.54441522,7769.1289431,7786.047,7781.264
7797.318262,7794.06210573,7788.04706497,7809.709,7804.215
7814.372968,7811.16919646,7804.51202999,7830.974,7824.569
7831.486932,7828.33511496,7821.04240523,7852.351,7845.026
7845.775206,7842.74737409,7834.86750442,7870.809,7862.577
