BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
970.4315102,974.327783545,978.245614379,900.162,904.106
1094.789829,1097.17181084,1099.96369589,1003.088,1003.987
1442.216333,1439.37152595,1430.02397193,1295.046,1273.094
1923.429639,1916.46697001,1905.39893541,1798.006,1757.759
2337.172995,2327.95998347,2328.80385852,2273.775,2229.91
2623.05466,2622.25247828,2632.45807536,2783.344,2720.885
2695.515144,2698.57449443,2710.50085083,2430.978,2447.734
2661.496897,2663.73252172,2672.52577393,2542.635,2546.784
2695.605067,2697.8025271,2702.68146213,2609.533,2617.29
2776.500857,2778.53392118,2780.47938677,2708.956,2719.923
2954.548435,2955.87250404,2955.84814494,2916.903,2930.35
3261.517413,3261.31909343,3260.06293695,3262.296,3277.16
3722.14298,3718.85508958,3716.54958824,3805.964,3821.208
3822.174998,3819.10072549,3812.59637947,3892.129,3899.401
3962.325636,3958.566787,3949.08638408,4048.531,4048.758
4027.774491,4023.60120761,4010.34630296,4120.285,4110.524
4016.851073,4012.81805613,3997.34324529,4108.364,4091.588
4002.187232,3998.33195502,3980.73868435,4091.496,4069.042
3964.241034,3960.9113687,3943.22350711,4048.254,4023.52
3926.803322,3923.99788504,3906.19974394,4005.518,3978.495
3878.103779,3876.11567589,3859.83221223,3946.802,3920.172
3849.368001,3848.45575433,3833.90183775,3912.003,3888.877
3817.992687,3817.91241561,3805.46294541,3873.928,3854.471
3787.324617,3788.06733487,3777.68594464,3836.309,3820.478
3771.606778,3772.80101961,3763.90329258,3816.248,3802.48
3749.681411,3751.33546098,3744.05543676,3789.1,3777.486
3746.441188,3748.14039485,3741.37735525,3782.882,3771.437
3759.316048,3760.99479892,3754.45573472,3793.233,3783.73
3772.640715,3774.01791849,3767.09234794,3800.983,3793.404
3793.28466,3794.34838178,3787.16893272,3819.04,3810.838
3823.128524,3823.76447328,3815.96295579,3846.111,3836.038
3860.097939,3860.25519723,3851.90640138,3880.591,3868.705
3899.854344,3899.58426259,3890.66011649,3917.579,3904.154
3943.057774,3942.30035909,3932.56916186,3957.077,3941.759
3971.826159,3970.75324298,3960.26162207,3980.105,3963.098
4003.847943,4002.42521915,3990.93097885,4005.586,3986.455
4025.549938,4024.01299885,4011.50130411,4018.691,3996.752
4031.414448,4029.78193272,4015.58915033,4014.734,3989.023
4023.276801,4021.8271411,4006.42048789,3996.054,3967.485
4015.310573,4014.04312495,3997.43558824,3977.459,3946.081
4004.9303,4004.0354529,3986.57260861,3956.88,3923.306
3994.551192,3994.03131988,3975.70842945,3936.188,3900.423
3986.346194,3986.27294579,3967.20752134,3918.802,3881.159
3978.084494,3978.45989889,3958.67054441,3901.392,3861.901
3970.114717,3970.81076817,3950.57881392,3898.845,3844.762
3960.341753,3961.40190311,3946.55156786,3890.166,3876.395
3960.004418,3961.21178278,3948.81498885,3889.387,3876.688
3962.046601,3963.39996463,3953.31525067,3888.522,3876.972
3970.732345,3972.0792253,3964.26413687,3895.26,3884.855
3978.796144,3981.0115544,3975.27966282,3901.829,3892.582
3993.050154,3996.02372241,3992.02131795,3917.711,3909.342
4009.894402,4013.24548981,4010.12391273,3935.012,3927.491
4034.652272,4037.89556248,4034.93677662,3960.225,3953.315
4060.215713,4063.35530527,4060.06974933,3986.077,3979.782
4092.006194,4094.86611765,4091.72864014,4021.275,4015.395
4123.906943,4126.48308189,4123.49732757,4056.635,4051.175
4161.87722,4164.04458747,4161.13950365,4099.297,4094.149
