BILLY-25,MODEL-25
1937.841761,1944.76950019
2147.319381,2152.03897578
2544.212941,2542.16017724
3130.586363,3122.77415263
3747.371461,3736.70967128
4202.228581,4204.4669258
4386.88486,4396.58750096
4415.687759,4425.93185198
4465.93714,4476.15043637
4636.109239,4646.40989504
4909.961822,4918.45398347
5382.459158,5387.83249596
6089.300088,6087.70855325
6249.176059,6247.51551173
6460.498378,6457.21974318
6613.032526,6608.58585429
6661.209812,6656.72364321
6699.235763,6694.80099962
6704.200373,6700.28712457
6711.050527,6707.65218493
6703.831745,6701.27101692
6711.543864,6710.00437332
6711.481176,6710.71380046
6713.000488,6712.98525029
6731.929792,6732.19402499
6748.731257,6749.2627005
6787.27712,6787.56907266
6826.157697,6826.22574779
6868.28173,6867.81788466
6923.690554,6922.64779123
6991.005682,6989.25029796
7061.632499,7059.17707997
7132.74742,7129.72994156
7201.705594,7198.16483852
7248.273437,7244.47847443
7296.431134,7292.43405459
7332.471876,7328.67007651
7348.067397,7344.53473626
7346.861653,7343.87988889
7345.708501,7343.27962438
7341.733064,7340.0677897
7337.787155,7336.88821069
7335.644298,7335.59321876
7333.400511,7334.19912457
7318.997697,7320.9408762
7052.161845,7062.08655056
7008.528585,7018.02911265
6982.897636,6991.95297578
6980.598724,6988.70989619
6991.861772,6996.90198155
7016.190619,7019.70558016
7045.747182,7049.19347597
7086.641096,7089.95729489
7130.44807,7133.6529777
7183.062507,7185.95536794
7235.795183,7238.37175932
7295.398485,7297.51673856
7355.2201,7356.87122299
7420.272403,7421.38703114
7485.643141,7486.21021492
7554.103237,7554.11853095
7572.879389,7572.39299731
7595.577616,7594.59116032
7618.401146,7616.90875509
7642.6089,7640.70152057
7666.966044,7664.63920838
7690.555855,7687.94599423
7714.278908,7711.38247059
7736.200988,7733.1527747
7758.235429,7755.0337228
7777.767017,7774.54441522
7797.318262,7794.06210573
7814.372968,7811.16919646
7831.486932,7828.33511496
7845.775206,7842.74737409
7865.564644,7862.64907766
7880.703952,7877.99070165
7896.098547,7893.56219531
7903.921342,7901.6414183
7910.309508,7908.28978354
7909.127186,7907.4544975
7906.786178,7905.44778316
7896.443756,7895.51046405
7885.601107,7885.07368781
7867.788055,7867.68771588
7849.715759,7850.04124414
7826.33872,7827.06765052
7802.850161,7803.97981853
7776.335452,7777.81569512
7749.863875,7751.69075663
7724.580934,7726.65994617
7699.377397,7701.70556978
7681.014118,7683.4544902
7662.75812,7665.30995117
7655.500458,7658.03869935
7648.401373,7650.92750327
7651.429566,7653.88476394
7655.254306,7657.64155017
7663.706317,7666.00805729
7672.199569,7674.41540638
