BILLY-25,UCVM-25
970.4315102,978.245614379
1094.789829,1099.96369589
1442.216333,1430.02397193
1923.429639,1905.39893541
2337.172995,2328.80385852
2623.05466,2632.45807536
2695.515144,2710.50085083
2661.496897,2672.52577393
2695.605067,2702.68146213
2776.500857,2780.47938677
2954.548435,2955.84814494
3261.517413,3260.06293695
3722.14298,3716.54958824
3822.174998,3812.59637947
3962.325636,3949.08638408
4027.774491,4010.34630296
4016.851073,3997.34324529
4002.187232,3980.73868435
3964.241034,3943.22350711
3926.803322,3906.19974394
3878.103779,3859.83221223
3849.368001,3833.90183775
3817.992687,3805.46294541
3787.324617,3777.68594464
3771.606778,3763.90329258
3749.681411,3744.05543676
3746.441188,3741.37735525
3759.316048,3754.45573472
3772.640715,3767.09234794
3793.28466,3787.16893272
3823.128524,3815.96295579
3860.097939,3851.90640138
3899.854344,3890.66011649
3943.057774,3932.56916186
3971.826159,3960.26162207
4003.847943,3990.93097885
4025.549938,4011.50130411
4031.414448,4015.58915033
4023.276801,4006.42048789
4015.310573,3997.43558824
4004.9303,3986.57260861
3994.551192,3975.70842945
3986.346194,3967.20752134
3978.084494,3958.67054441
3970.114717,3950.57881392
3960.341753,3946.55156786
3960.004418,3948.81498885
3962.046601,3953.31525067
3970.732345,3964.26413687
3978.796144,3975.27966282
3993.050154,3992.02131795
4009.894402,4010.12391273
4034.652272,4034.93677662
4060.215713,4060.06974933
4092.006194,4091.72864014
4123.906943,4123.49732757
4161.87722,4161.13950365
4200.061034,4198.98695425
4242.876267,4241.40073933
4285.979166,4284.09680584
4331.908278,4329.63345982
4348.617824,4345.95919185
4368.741065,4365.70883199
4388.96095,4385.55005459
4410.26729,4406.41526336
4431.684975,4427.38920723
4452.350119,4447.54699885
4473.117182,4467.80286967
4492.252795,4486.38181161
4511.475829,4505.04466859
4528.501549,4521.54508651
4545.539562,4538.02244444
4560.465121,4552.41838485
4575.448551,4566.87340331
4587.987374,4578.99485429
4605.080746,4595.76475971
4618.226736,4608.87499231
4631.820957,4622.39376086
4638.734471,4629.6020892
4644.401315,4635.55204498
4643.639047,4635.55311572
4642.12496,4634.78814725
4633.81594,4627.64094656
4625.06664,4620.04459439
4610.393495,4606.80866974
4595.47491,4593.31374894
4576.036563,4575.43775048
4556.470377,4557.41598078
4534.319346,4536.75798116
4512.159,4516.07978162
4491.033614,4496.15379508
4469.928635,4476.23880738
4454.757889,4461.6922499
4439.651576,4447.20966398
4434.055148,4441.58165782
4428.583026,4436.07600884
4431.829854,4438.86217263
4435.733283,4442.31762937
4443.611676,4449.59624337
4451.512215,4456.13807151
