PO-MODEL-0,PO-UCVM-0
5245.8892,5256.418
5245.833,5256.377
5238.4951,5250.649
5332.8589,5346.743
5420.1279,5437.83
5507.2119,5528.73
5579.96,5604.926
5640.3691,5668.092
5724.0869,5753.661
5813.1001,5843.824
5901.0859,5929.447
5970.231,5996.68
6027.2969,6050.421
6074.812,6093.953
6108.855,6128.106
6132.1919,6156.972
6150.7979,6179.926
6168.9448,6200.576
6186.8501,6220.077
6204.7461,6239.576
6223.3408,6258.936
6241.2412,6274.038
6261.2759,6290.773
6281.4058,6307.562
6303.6699,6326.433
6319.71,6339.329
6336.249,6352.865
6371.2822,6384.555
6398.4302,6409.978
6438.8281,6448.287
6490.2231,6498.191
6558.7808,6565.449
6643.98,6649.79
6744.4932,6749.142
6852.606,6856.616
6977.5288,6979.986
7120.6958,7120.572
7240.9419,7238.24
7340.8721,7336.537
7440.7261,7434.751
7538.417,7531.047
7636.061,7627.291
7732.0332,7721.977
7827.9282,7816.589
7923.1348,7910.575
7917.6099,7905.063
7912.2822,7899.655
7906.9551,7894.249
7902.1689,7889.379
7897.3892,7884.516
7889.542,7876.943
7883.2842,7871.083
7884.5532,7871.957
7408.4629,7383.463
7456.3652,7431.826
7504.584,7480.531
7552.3521,7528.61
7600.106,7576.673
7647.9131,7624.745
7695.71,7672.799
7743.4468,7720.912
7739.2422,7716.979
7735.2632,7713.699
7731.3301,7710.46
7727.292,7707.318
7723.2178,7704.141
7719.3442,7701.288
7715.4629,7698.428
7711.8242,7695.853
7708.1821,7693.277
7704.46,7690.645
7700.9131,7688.14
7697.4648,7685.682
7694.019,7683.225
7690.7632,7680.894
7686.4678,7677.481
7682.7759,7674.627
7679.998,7673.01
7677.0898,7670.822
7674.248,7668.679
7671.6909,7666.646
7673.6348,7668.734
7675.8042,7670.869
7678.0088,7673.034
7680.2598,7675.132
7682.542,7677.254
7684.8779,7679.333
7687.2578,7681.447
7689.7388,7683.59
7692.2222,7685.732
7694.6782,7687.831
7697.1709,7689.963
7699.6162,7692.127
7702.0479,7694.276
7704.2778,7696.52
7706.5229,7698.776
7708.5811,7701.186
7710.5942,7703.551
7712.7612,7706.176
7714.9302,7709.059
