PO-MODEL-0,PO-UCVM-0
2874.0959,2877.968
2874.054,2877.938
2866.52,2872.103
2914.3169,2921.831
2955.7729,2967.137
2996.9829,3012.242
3030.9221,3050.13
3058.1541,3081.101
3102.2959,3127.791
3154.353,3181.754
3216.7629,3243.091
3278.1851,3303.287
3338.666,3361.034
3389.2271,3408.692
3424.269,3443.483
3442.1201,3464.891
3451.3181,3476.693
3460.5281,3487.223
3469.429,3496.682
3478.334,3506.146
3487.8711,3515.569
3504.2029,3529.672
3522.3501,3545.193
3540.5581,3560.747
3560.627,3578.123
3575.2939,3590.044
3590.405,3602.528
3621.0349,3631.001
3642.5381,3651.216
3672.449,3679.656
3708.511,3714.803
3754.448,3760.001
3809.4509,3814.727
3873.291,3878.077
3940.8679,3945.658
4018.717,4022.667
4107.834,4109.773
4182.6348,4182.69
4244.1719,4243.416
4305.6191,4304.047
4365.2222,4363.051
4424.7759,4422.006
4482.917,4479.64
4541.0049,4537.224
4598.5122,4594.265
4595.127,4590.649
4591.8882,4587.094
4588.6528,4583.542
4585.9058,4580.47
4583.1621,4577.4
4575.8359,4570.183
4569.6201,4564.166
4576.167,4569.866
4338.8262,4322.062
4366.6582,4350.213
4394.6201,4378.503
4422.2598,4406.321
4449.897,4434.133
4477.582,4461.95
4505.2559,4489.755
4532.876,4517.602
4529.8599,4514.667
4527.0439,4512.297
4524.2661,4509.964
4521.3862,4507.698
4518.4829,4505.413
4515.7358,4503.39
4512.9839,4501.363
4510.4248,4499.567
4507.8662,4497.771
4505.2422,4495.928
4502.7622,4494.19
4500.3511,4492.474
4497.9399,4490.758
4495.6929,4489.15
4492.7539,4486.859
4490.269,4484.978
4488.0142,4483.499
4486.0322,4481.989
4484.1099,4480.522
4482.4351,4479.153
4483.8262,4480.59
4485.4092,4482.069
4487.0259,4483.575
4488.6802,4485.023
4490.3618,4486.494
4492.0879,4487.924
4493.853,4489.388
4495.7061,4490.875
4497.5601,4492.362
4499.397,4493.82
4501.2651,4495.302
4503.0972,4496.82
4504.916,4498.323
4506.5718,4499.917
4508.2388,4501.521
4509.7529,4503.265
4511.2251,4504.967
4512.834,4506.894
4514.4448,4509.116
