BILLY-25,UCVM-25,UCVM-GTL-25
3467.149339,3557.54411419,835.548379085
4053.126259,4105.51178008,4105.51178008
4351.979546,4384.05508304,4384.05508304
4508.380773,4529.55647636,4529.55647636
4577.514002,4585.40962707,4585.40962707
4642.046694,4637.88456632,4637.88456632
4677.495571,4665.9854406,4665.9854406
4685.37905,4666.16094118,4666.16094118
4762.584168,4741.00566398,4741.00566398
4830.727047,4806.46625913,4806.46625913
4901.90499,4877.74466244,4877.74466244
4997.104775,4972.61682507,4972.61682507
5026.531476,5006.96690542,5006.96690542
5066.685613,5048.7649877,5048.7649877
5151.275967,5133.71144329,5133.71144329
5260.992668,5245.08596578,5245.08596578
5391.154644,5374.42155325,5374.42155325
5537.806009,5517.86979546,5517.86979546
5663.398085,5639.3483837,5639.3483837
5790.473087,5761.13701999,5761.13701999
5889.979639,5856.05331027,5856.05331027
5980.116897,5944.76625952,5944.76625952
6021.626574,5988.94835063,5988.94835063
6070.086059,6039.47956094,6039.47956094
6087.729585,6060.78115456,6060.78115456
6102.989885,6079.60565782,6079.60565782
6110.486178,6088.19541292,6088.19541292
6110.131872,6089.45013033,6089.45013033
6115.335855,6093.67300769,6093.67300769
6132.078051,6108.47873664,6108.47873664
6170.641669,6143.26126567,6143.26126567
6214.745098,6181.77119608,6181.77119608
6269.210384,6225.76749981,6225.76749981
6318.863464,6263.05683699,6263.05683699
6365.806151,6304.03586736,6304.03586736
6410.509223,6342.85615532,6342.85615532
6454.432503,6383.56071703,6383.56071703
6472.459977,6402.71163899,6402.71163899
6494.657366,6426.87465321,6426.87465321
6517.132599,6451.34925183,6451.34925183
6548.82471,6484.74791196,6484.74791196
6580.839592,6518.38970434,6518.38970434
6618.468543,6557.16610611,6557.16610611
6656.756747,6596.5769877,6596.5769877
6695.740165,6636.37937793,6636.37937793
6733.703245,6675.02441176,6675.02441176
6766.190873,6708.48734679,6708.48734679
6799.027862,6742.29896847,6742.29896847
6820.568931,6765.8531361,6765.8531361
6842.277128,6789.59096271,6789.59096271
6850.519796,6801.1066163,6801.1066163
6858.227997,6812.54222914,6812.54222914
6855.741503,6813.89746175,6813.89746175
6853.453033,6815.4706709,6815.4706709
7020.444141,6979.93530988,6979.93530988
7553.791411,7487.55988043,7487.55988043
7616.464567,7557.10617493,7557.10617493
7656.785702,7598.78423875,7598.78423875
7696.726517,7640.58958285,7640.58958285
7736.5889,7682.33907997,7682.33907997
7781.753218,7729.66467243,7729.66467243
7781.080796,7730.76256555,7730.76256555
7785.976728,7737.82547866,7737.82547866
7790.923364,7744.92658631,7744.92658631
7802.08727,7757.85982007,7757.85982007
7813.28832,7770.8402103,7770.8402103
7829.163995,7788.2948639,7788.2948639
7845.107151,7805.82952172,7805.82952172
7863.16268,7825.64794079,7825.64794079
7881.300288,7845.56404806,7845.56404806
7898.713299,7865.26878124,7865.26878124
7916.532661,7885.28938024,7885.28938024
7931.670154,7903.13027105,7903.13027105
7946.867743,7921.05283391,7921.05283391
7957.393356,7934.70318685,7934.70318685
7970.599662,7951.56152095,7951.56152095
7978.254468,7962.73782545,7962.73782545
7985.939654,7974.03785928,7974.03785928
7988.805679,7979.51913379,7979.51913379
7990.732176,7983.96616186,7983.96616186
7990.90381,7985.29611265,7985.29611265
7990.761642,7986.25923529,7986.25923529
7991.026571,7986.22660861,7986.22660861
7990.981753,7985.84096271,7985.84096271
7992.201992,7985.58861284,7985.58861284
7993.230861,7985.11278008,7985.11278008
7995.846059,7985.44141369,7985.44141369
7998.368551,7985.64935333,7985.64935333
8002.545813,7987.13926951,7987.13926951
8006.627935,7988.53169435,7988.53169435
8012.342814,7991.74858131,7991.74858131
8018.055998,7994.950599,7994.950599
8024.860557,7999.98138178,7999.98138178
8031.640584,8004.99596348,8004.99596348
8037.733387,8010.3995471,8010.3995471
8043.953453,8015.92857747,8015.92857747
8048.236474,8020.39907574,8020.39907574
8052.947017,8025.34878816,8025.34878816
8056.412534,8029.41158208,8029.41158208
8059.891126,8033.17348481,8033.17348481
