BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
3467.149339,3492.15322607,3557.54411419,3123.977,3234.466
4053.126259,4067.47411572,4105.51178008,3733.845,3862.803
4351.979546,4363.17644329,4384.05508304,4095.079,4194.287
4508.380773,4521.01956709,4529.55647636,4307.682,4335.103
4577.514002,4589.45552518,4585.40962707,4387.125,4389.905
4642.046694,4653.44467512,4637.88456632,4433.977,4423.767
4677.495571,4687.07806421,4665.9854406,4482.415,4459.746
4685.37905,4693.5094752,4666.16094118,4437.098,4408.531
4762.584168,4768.61258324,4741.00566398,4527.999,4491.957
4830.727047,4834.87481238,4806.46625913,4611.878,4565.85
4901.90499,4905.34479508,4877.74466244,4705.019,4649.335
4997.104775,4999.97474664,4972.61682507,4880.717,4801.72
5026.531476,5030.24220838,5006.96690542,4927.239,4844.57
5066.685613,5070.07312841,5048.7649877,4983.997,4890.094
5151.275967,5154.12682776,5133.71144329,5080.265,4976.545
5260.992668,5262.3960692,5245.08596578,5197.089,5086.945
5391.154644,5391.24731757,5374.42155325,5326.982,5210.275
5537.806009,5536.66050442,5517.86979546,5479.262,5352.729
5663.398085,5661.75018608,5639.3483837,5598.991,5461.781
5790.473087,5788.37606613,5761.13701999,5718.936,5569.585
5889.979639,5887.21012149,5856.05331027,5795.738,5637.057
5980.116897,5977.30511803,5944.76625952,5890.612,5731.038
6021.626574,6018.92486005,5988.94835063,5922.5,5771.676
6070.086059,6067.55108651,6039.47956094,5961.386,5818.027
6087.729585,6085.25130604,6060.78115456,5967.689,5835.716
6102.989885,6100.54729681,6079.60565782,5971.726,5851.4
6110.486178,6107.82739754,6088.19541292,5971.386,5854.706
6110.131872,6107.40412726,6089.45013033,5965.201,5856.327
6115.335855,6112.37660169,6093.67300769,5977.802,5870.623
6132.078051,6128.95006151,6108.47873664,6002.186,5895.944
6170.641669,6167.42929104,6143.26126567,6053.353,5944.869
6214.745098,6211.90206498,6181.77119608,6107.002,5994.205
6269.210384,6267.29075894,6225.76749981,6168.448,6039.033
6318.863464,6318.22558939,6263.05683699,6225.122,6075.923
6365.806151,6366.16229566,6304.03586736,6276.814,6121.513
6410.509223,6411.9921138,6342.85615532,6325.083,6163.597
6454.432503,6456.9103491,6383.56071703,6371.142,6207.436
6472.459977,6475.25600423,6402.71163899,6393.655,6231.23
6494.657366,6497.53408228,6426.87465321,6421.527,6263.021
6517.132599,6520.08593464,6451.34925183,6449.95,6295.385
6548.82471,6551.7536113,6484.74791196,6488.588,6339.427
6580.839592,6583.74517224,6518.38970434,6527.656,6383.706
6618.468543,6621.24840062,6557.16610611,6572.333,6434.182
6656.756747,6659.40233564,6596.5769877,6617.927,6485.688
6695.740165,6698.18706382,6636.37937793,6663.062,6536.844
6733.703245,6735.63269012,6675.02441176,6709.052,6588.596
6766.190873,6767.62977201,6708.48734679,6746.89,6632.661
6799.027862,6799.97041753,6742.29896847,6785.15,6677.274
6820.568931,6821.18907574,6765.8531361,6808.182,6707.625
6842.277128,6842.57286774,6789.59096271,6831.369,6738.229
6850.519796,6850.73367205,6801.1066163,6837.134,6752.185
6858.227997,6858.3724456,6812.54222914,6842.372,6766.36
6855.741503,6855.87331065,6813.89746175,6835.651,6767.705
6853.453033,6853.5696163,6815.4706709,6829.239,6769.387
7020.444141,7014.82525682,6979.93530988,6833.626,6780.794
7553.791411,7542.30212957,7487.55988043,7585.537,7508.589
7616.464567,7618.0032499,7557.10617493,7622.019,7548.686
7656.785702,7658.9038366,7598.78423875,7658.787,7589.023
7696.726517,7699.27126182,7640.58958285,7697.651,7631.012
7736.5889,7739.56638216,7682.33907997,7736.41,7672.929
7781.753218,7785.10561707,7729.66467243,7782.476,7721.707
7781.080796,7784.80767282,7730.76256555,7782.542,7725.065
7785.976728,7789.93540177,7737.82547866,7790.27,7735.171
7790.923364,7795.11500884,7744.92658631,7798.061,7745.316
7802.08727,7806.36242945,7757.85982007,7812.864,7762.044
7813.28832,7817.64794502,7770.8402103,7827.711,7778.83
7829.163995,7833.50560246,7788.2948639,7847.384,7800.23
7845.107151,7849.43078008,7805.82952172,7867.146,7821.734
7863.16268,7867.42285582,7825.64794079,7888.418,7844.993
7881.300288,7885.49668627,7845.56404806,7909.791,7868.374
7898.713299,7902.84396578,7865.26878124,7928.995,7890.286
7916.532661,7920.60037755,7885.28938024,7948.929,7912.886
7931.670154,7935.72489196,7903.13027105,7964.52,7931.825
7946.867743,7950.90923183,7921.05283391,7980.159,7950.84
7957.393356,7961.50343945,7934.70318685,7989.234,7963.644
7970.599662,7974.79265936,7951.56152095,8000.151,7979.035
7978.254468,7982.57823645,7962.73782545,8003.417,7986.067
7985.939654,7990.39929104,7974.03785928,8006.903,7993.57
