BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
1674.282568,1690.61146059,1712.34525067,1519.576,1580.988
1814.231507,1827.98222145,1849.72328912,1635.697,1692.763
1974.423752,1986.83495117,2011.77476432,1778.868,1829.993
2124.573322,2136.6448516,2155.5585198,1888.93,1918.459
2208.762076,2219.29682161,2227.25801999,2015.519,2048.913
2305.584971,2314.72058631,2319.18169319,2140.417,2159.634
2366.167478,2373.1630296,2375.38557247,2241.014,2255.19
2327.431423,2334.30950404,2333.82976547,2145.271,2154.024
2383.224898,2388.48574471,2386.67149558,2211.49,2213.823
2443.565932,2447.27699962,2442.7269504,2286.425,2278.579
2518.426459,2521.26462322,2512.81205306,2383.474,2361.351
2594.439765,2596.46037562,2583.51916878,2485.225,2447.509
2685.887905,2687.72157862,2667.57059362,2608.333,2549.174
2773.821446,2775.45062322,2747.33624106,2726.938,2644.271
2885.011803,2886.71058708,2848.63779162,2859.717,2754.638
2998.157816,2999.73687735,2952.40339677,2984.808,2860.503
3115.152134,3116.84653979,3059.45338562,3103.585,2962.351
3242.355932,3244.07640446,3176.32925106,3236.66,3077.892
3350.086597,3352.48383007,3272.83588927,3340.599,3163.408
3457.187916,3460.24445444,3368.52540062,3443.728,3247.719
3534.538162,3538.07128681,3436.37870204,3506.506,3294.327
3565.349135,3568.86235063,3469.4247328,3534.903,3326.801
3551.811957,3555.43977932,3462.44108074,3508.454,3312.257
3542.017247,3545.80297347,3459.199995,3486.011,3300.998
3506.341949,3510.25757093,3431.31037985,3435.524,3264.815
3467.67486,3471.66371626,3400.38441215,3381.807,3225.799
3422.042926,3425.91145136,3360.42220723,3323.82,3175.733
3379.312691,3383.30580661,3323.39775855,3270.45,3133.407
3351.115609,3354.84074702,3298.58720146,3244.223,3112.622
3330.825271,3334.14698962,3282.5348712,3225.455,3100.918
3331.824418,3334.58247866,3287.06989158,3233.361,3114.222
3348.792707,3351.11244983,3306.80647789,3255.472,3140.45
3384.253849,3386.3887005,3341.84317724,3296.851,3178.659
3427.463983,3429.5503318,3383.33543099,3346.549,3222.771
3477.055921,3478.97040138,3434.10123453,3400.716,3278.79
3530.058316,3531.86083083,3487.68635717,3458.301,3337.016
3584.528462,3586.28843714,3542.43907612,3516.865,3396.927
3607.799692,3609.57822914,3565.10776317,3545.799,3424.994
3631.642222,3633.4192426,3588.19006997,3576.146,3456.012
3655.659204,3657.43374625,3611.46395809,3606.847,3487.385
3688.317812,3689.98786928,3643.13058747,3647.174,3529.807
3721.151638,3722.71935679,3674.90868243,3687.708,3572.252
3759.230238,3760.59729604,3711.51919223,3733.489,3620.508
3797.705448,3798.86689735,3748.52342791,3779.807,3669.395
3836.941642,3837.83898231,3786.02893656,3825.812,3718.02
3869.525694,3870.08393656,3818.50785083,3865.028,3761.666
3897.417489,3897.65639408,3846.55135832,3897.199,3798.598
3925.550177,3925.46530065,3874.83717378,3929.657,3835.906
3944.016374,3943.75551788,3894.3384875,3949.061,3860.885
3962.601338,3962.16240254,3913.97219416,3968.578,3886.046
3969.457512,3969.04859362,3922.947,3972.962,3896.661
3975.812341,3975.44370281,3931.8130569,3976.845,3907.422
3974.002318,3973.72605921,3932.5494306,3971.15,3907.767
3971.984979,3971.79864783,3933.13961246,3965.299,3908.03
4068.172115,4064.7222772,4027.53527605,3966.308,3914.392
4376.140411,4369.47593964,4319.23643676,4399.042,4331.284
4409.117866,4410.3674306,4356.84629027,4415.997,4351.45
4429.209243,4430.92477932,4378.16147097,4433.153,4371.79
4449.216917,4451.29811765,4399.80848943,4452.203,4393.577
