BILLY-25,MODEL-25
3467.149339,3492.15322607
4053.126259,4067.47411572
4351.979546,4363.17644329
4508.380773,4521.01956709
4577.514002,4589.45552518
4642.046694,4653.44467512
4677.495571,4687.07806421
4685.37905,4693.5094752
4762.584168,4768.61258324
4830.727047,4834.87481238
4901.90499,4905.34479508
4997.104775,4999.97474664
5026.531476,5030.24220838
5066.685613,5070.07312841
5151.275967,5154.12682776
5260.992668,5262.3960692
5391.154644,5391.24731757
5537.806009,5536.66050442
5663.398085,5661.75018608
5790.473087,5788.37606613
5889.979639,5887.21012149
5980.116897,5977.30511803
6021.626574,6018.92486005
6070.086059,6067.55108651
6087.729585,6085.25130604
6102.989885,6100.54729681
6110.486178,6107.82739754
6110.131872,6107.40412726
6115.335855,6112.37660169
6132.078051,6128.95006151
6170.641669,6167.42929104
6214.745098,6211.90206498
6269.210384,6267.29075894
6318.863464,6318.22558939
6365.806151,6366.16229566
6410.509223,6411.9921138
6454.432503,6456.9103491
6472.459977,6475.25600423
6494.657366,6497.53408228
6517.132599,6520.08593464
6548.82471,6551.7536113
6580.839592,6583.74517224
6618.468543,6621.24840062
6656.756747,6659.40233564
6695.740165,6698.18706382
6733.703245,6735.63269012
6766.190873,6767.62977201
6799.027862,6799.97041753
6820.568931,6821.18907574
6842.277128,6842.57286774
6850.519796,6850.73367205
6858.227997,6858.3724456
6855.741503,6855.87331065
6853.453033,6853.5696163
7020.444141,7014.82525682
7553.791411,7542.30212957
7616.464567,7618.0032499
7656.785702,7658.9038366
7696.726517,7699.27126182
7736.5889,7739.56638216
7781.753218,7785.10561707
7781.080796,7784.80767282
7785.976728,7789.93540177
7790.923364,7795.11500884
7802.08727,7806.36242945
7813.28832,7817.64794502
7829.163995,7833.50560246
7845.107151,7849.43078008
7863.16268,7867.42285582
7881.300288,7885.49668627
7898.713299,7902.84396578
7916.532661,7920.60037755
7931.670154,7935.72489196
7946.867743,7950.90923183
7957.393356,7961.50343945
7970.599662,7974.79265936
7978.254468,7982.57823645
7985.939654,7990.39929104
7988.805679,7993.42425183
7990.732176,7995.5021461
7990.90381,7995.82014917
7990.761642,7995.8178639
7991.026571,7996.18922184
7990.981753,7996.24818608
7992.201992,7997.49313264
7993.230861,7998.54592426
7995.846059,8001.03216186
7998.368551,8003.42566782
8002.545813,8007.27191734
8006.627935,8011.02174164
8012.342814,8016.20299231
8018.055998,8021.38283122
8024.860557,8027.54830834
8031.640584,8033.68834102
8037.733387,8039.21516417
8043.953453,8044.87017839
8048.236474,8048.79597386
8052.947017,8053.1379704
8056.412534,8056.39080854
8059.891126,8059.65691849
