BILLY-25,UCVM-25
1674.282568,1712.34525067
1814.231507,1849.72328912
1974.423752,2011.77476432
2124.573322,2155.5585198
2208.762076,2227.25801999
2305.584971,2319.18169319
2366.167478,2375.38557247
2327.431423,2333.82976547
2383.224898,2386.67149558
2443.565932,2442.7269504
2518.426459,2512.81205306
2594.439765,2583.51916878
2685.887905,2667.57059362
2773.821446,2747.33624106
2885.011803,2848.63779162
2998.157816,2952.40339677
3115.152134,3059.45338562
3242.355932,3176.32925106
3350.086597,3272.83588927
3457.187916,3368.52540062
3534.538162,3436.37870204
3565.349135,3469.4247328
3551.811957,3462.44108074
3542.017247,3459.199995
3506.341949,3431.31037985
3467.67486,3400.38441215
3422.042926,3360.42220723
3379.312691,3323.39775855
3351.115609,3298.58720146
3330.825271,3282.5348712
3331.824418,3287.06989158
3348.792707,3306.80647789
3384.253849,3341.84317724
3427.463983,3383.33543099
3477.055921,3434.10123453
3530.058316,3487.68635717
3584.528462,3542.43907612
3607.799692,3565.10776317
3631.642222,3588.19006997
3655.659204,3611.46395809
3688.317812,3643.13058747
3721.151638,3674.90868243
3759.230238,3711.51919223
3797.705448,3748.52342791
3836.941642,3786.02893656
3869.525694,3818.50785083
3897.417489,3846.55135832
3925.550177,3874.83717378
3944.016374,3894.3384875
3962.601338,3913.97219416
3969.457512,3922.947
3975.812341,3931.8130569
3974.002318,3932.5494306
3971.984979,3933.13961246
4068.172115,4027.53527605
4376.140411,4319.23643676
4409.117866,4356.84629027
4429.209243,4378.16147097
4449.216917,4399.80848943
4469.141872,4421.39465552
4493.733403,4447.87638024
4492.251615,4447.94610496
4495.574594,4453.16939908
4498.93902,4458.42231103
4507.699781,4468.74733987
4516.486082,4479.10451288
4529.31704,4493.34725067
4542.193437,4507.64354825
4556.886644,4523.91418032
4571.634963,4540.25033564
4585.713095,4556.36493772
4600.160269,4572.76259708
4612.280577,4587.26055479
4624.440588,4601.81293272
4632.561034,4612.65878585
4642.673526,4625.94053172
4648.006674,4634.31716724
4653.267793,4642.71923453
4654.5692,4646.27798962
4655.143072,4649.02583045
4654.254887,4649.13849173
4653.125859,4648.96304844
4652.38867,4647.97233372
4651.410961,4646.70284967
4651.537539,4645.56278047
4651.515033,4644.24465436
4652.851926,4643.60961976
4654.120227,4642.88028297
4656.810292,4643.24900807
4659.418105,4643.53163591
4663.419923,4645.37338178
4667.419846,4647.20124491
4672.341365,4650.59270088
4677.236371,4653.96426336
4681.517009,4657.65630873
4685.90639,4661.45531103
4688.622453,4664.34423337
4691.691984,4667.62838216
4693.714083,4670.18093618
4695.745071,4672.46385928
