PO-MODEL-0,PO-UCVM-0
5604.5171,5544.912
5603.7119,5544.145
5582.312,5525.828
5605.4551,5555.199
5616.665,5573.851
5628.4692,5593.11
5643.0601,5614.184
5652.104,5629.211
5703.2261,5684.459
5769.3589,5754.251
5882.0459,5865.762
6033.4492,6009.39
6185.4951,6154.407
6306.2969,6273.482
6394.063,6362.936
6469.6641,6440.847
6511.6792,6487.072
6546.2759,6525.96
6579.8081,6562.944
6613.5752,6600.078
6652.3789,6640.516
6656.2661,6644.218
6666.438,6652.801
6676.7129,6661.477
6691.6479,6673.839
6707.5288,6687.087
6724.8232,6701.537
6740.3389,6714.501
6752.3232,6724.062
6765.4512,6734.052
6767.9761,6732.847
6771.5972,6732.505
6766.6982,6721.571
6762.0591,6711.509
6742.3701,6689.135
6722.5649,6667.157
6696.7178,6640.822
6670.3359,6615.678
6645.333,6592.357
6620.3979,6569.145
6601.4902,6552.159
6582.7158,6535.196
6571.4092,6525.736
6560.1138,6516.254
6555.8628,6513.872
6561.3408,6519.501
6571.3359,6529.767
6581.353,6540.053
6592.793,6552.07
6604.2578,6564.114
6614.1519,6575.355
6623.583,6586.525
6631.2852,6596.234
6639.5659,6606.475
6646.0269,6615.758
6652.5078,6625.061
6657.2158,6633.209
6661.9492,6641.382
6665.4868,6648.68
6669.0469,6656.0
6671.9321,6662.77
6673.8071,6668.191
6675.501,6673.704
6663.2739,6664.85
6650.1621,6654.806
6637.1392,6644.827
6623.7402,6633.977
6610.416,6623.177
6597.9629,6612.529
6585.498,6601.774
6576.4482,6593.054
6565.333,6581.826
6557.1221,6571.992
7570.0229,7582.773
7567.772,7581.85
7570.3599,7585.043
7583.1758,7596.872
7595.8252,7607.942
7611.2529,7621.646
7626.5459,7635.182
7642.9331,7649.823
7659.1948,7664.341
7676.9902,7680.254
7694.7788,7696.148
7714.7041,7713.86
7734.6841,7731.609
7756.9731,7751.443
7779.3599,7771.349
7803.7969,7793.24
7828.3638,7815.236
7854.2002,7838.909
7880.187,7862.707
7904.0352,7885.161
7928.0542,7907.77
7944.625,7924.047
7961.3271,7940.445
7967.9878,7947.859
7974.9722,7955.585
7975.6919,7957.552
7976.418,7961.465
