PO-MODEL-0,PO-UCVM-0
3294.292,3255.181
3294.0859,3255.003
3259.134,3223.363
3253.771,3220.863
3240.926,3211.594
3227.928,3202.131
3221.5869,3198.71
3211.3091,3191.335
3241.177,3221.703
3291.228,3271.708
3392.303,3368.957
3529.71,3499.156
3671.479,3635.702
3783.5129,3746.312
3850.3301,3815.861
3877.6899,3847.872
3870.926,3847.468
3862.311,3844.97
3854.1799,3842.299
3846.1221,3839.676
3843.2759,3840.749
3844.252,3842.315
3851.0769,3848.487
3857.9419,3854.686
3868.9209,3864.162
3880.116,3873.831
3892.447,3884.496
3904.96,3895.279
3914.1699,3902.381
3925.499,3910.556
3928.854,3909.799
3934.9709,3910.845
3934.157,3903.23
3934.8579,3897.409
3924.019,3882.073
3914.0129,3868.096
3899.1509,3851.626
3881.5859,3835.724
3863.9451,3820.54
3846.3679,3805.468
3833.8579,3795.653
3821.46,3785.866
3815.4331,3782.483
3809.408,3779.079
3809.405,3781.736
3811.416,3783.704
3817.248,3789.585
3823.0759,3795.461
3830.123,3802.825
3837.1689,3810.189
3842.9189,3816.914
3848.2839,3823.589
3852.2581,3829.104
3856.688,3835.03
3859.6531,3840.231
3862.614,3845.431
3864.1069,3849.688
3865.6021,3853.95
3866.0891,3857.47
3866.5759,3860.992
3866.4951,3864.043
3865.4961,3865.887
3864.3821,3867.85
3853.762,3860.129
3842.366,3851.37
3831.019,3842.643
3819.3091,3833.135
3807.646,3823.654
3796.688,3814.264
3785.7061,3804.761
3777.6179,3796.915
3767.585,3786.664
3759.855,3777.349
4293.4961,4304.371
4290.1089,4302.33
4290.9771,4303.862
4301.2168,4313.261
4311.0762,4321.733
4323.6162,4332.742
4336.1318,4343.7
4349.5562,4355.579
4362.895,4367.373
4377.542,4380.358
4392.2168,4393.36
4408.7012,4407.902
4425.2529,4422.495
4443.75,4438.846
4462.3389,4455.269
4482.6719,4473.391
4503.1001,4491.59
4524.606,4511.237
4546.2212,4530.975
4565.998,4549.573
4585.8921,4568.277
4599.3848,4581.541
4612.981,4594.904
4617.9761,4600.565
4623.2119,4606.46
4623.125,4607.461
4623.04,4610.07
