BILLY-25,UCVM-25,UCVM-GTL-25
4767.020619,4738.31182622,1046.73293003
4767.055902,4738.39718877,4738.39718877
4776.369789,4752.76362514,4752.76362514
4816.386025,4798.17136371,4798.17136371
4948.567316,4936.32732834,4936.32732834
5082.745406,5076.67006959,5076.67006959
5280.237359,5280.09870627,5280.09870627
5479.594179,5486.02285006,5486.02285006
5671.472341,5685.08111534,5685.08111534
5859.476536,5882.87524952,5882.87524952
5975.366398,6009.07905306,6009.07905306
6182.773522,6217.96790196,6217.96790196
6285.262895,6323.19939831,6323.19939831
6363.819758,6404.5684356,6404.5684356
6377.302637,6417.5749654,6417.5749654
6395.299277,6435.49991811,6435.49991811
6373.730715,6411.80651865,6411.80651865
6351.070546,6386.96389696,6386.96389696
6306.016121,6339.78776817,6339.78776817
6262.435398,6294.15508112,6294.15508112
6214.849319,6245.33375894,6245.33375894
6159.873814,6189.274188,6189.274188
6115.793522,6144.47701769,6144.47701769
6072.123664,6100.10043176,6100.10043176
6049.515994,6076.68576586,6076.68576586
6026.85281,6052.61405882,6052.61405882
6025.457897,6050.06295925,6050.06295925
6023.453418,6047.03113303,6047.03113303
6035.838162,6057.16971588,6057.16971588
6054.861726,6073.62601807,6073.62601807
6083.167859,6098.19814264,6098.19814264
6118.399373,6129.16965206,6129.16965206
6159.864625,6165.60475394,6165.60475394
6204.790838,6205.20602384,6205.20602384
6233.524875,6229.39311226,6229.39311226
6264.244979,6255.58711842,6255.58711842
6279.886228,6268.2937501,6268.2937501
6279.538285,6266.21862937,6266.21862937
6263.242011,6249.65046943,6249.65046943
6247.060231,6233.20549135,6233.20549135
6228.206371,6215.0955075,6215.0955075
6209.454583,6197.0709504,6197.0709504
6196.06604,6185.09904383,6185.09904383
6182.746255,6173.18803422,6173.18803422
6179.009965,6171.29642291,6171.29642291
6172.938304,6166.58041792,6166.58041792
6176.3807,6171.41050673,6171.41050673
6179.873237,6176.28430488,6176.28430488
6190.535786,6187.90189735,6187.90189735
6201.256482,6199.57302115,6199.57302115
6214.781588,6213.46787274,6213.46787274
6229.168262,6228.24322876,6228.24322876
6244.858785,6243.90523991,6243.90523991
6260.565363,6259.5736709,6259.5736709
6279.514706,6278.29051019,6278.29051019
6298.59474,6297.13407113,6297.13407113
6321.077336,6319.26741945,6319.26741945
6343.723299,6341.5586832,6341.5586832
6368.240865,6365.6920273,6365.6920273
6392.934583,6389.99612995,6389.99612995
6417.433556,6414.19104767,6414.19104767
6442.296905,6438.80791003,6438.80791003
6466.493249,6462.73864052,6462.73864052
6481.811692,6477.67937562,6477.67937562
6499.202007,6494.72756478,6494.72756478
6516.723256,6511.90666705,6511.90666705
6540.450481,6535.53660669,6535.53660669
6564.400177,6559.39369281,6559.39369281
6597.316217,6592.64773933,6592.64773933
6630.495952,6626.17629566,6626.17629566
6691.906267,6694.3142276,6694.3142276
6890.238381,6890.71962207,6890.71962207
7211.659673,7195.92512764,7195.92512764
7493.882107,7470.55181699,7470.55181699
7690.218785,7663.48524606,7663.48524606
7838.775313,7820.05845252,7820.05845252
7879.798962,7891.35227105,7891.35227105
7898.715517,7911.43436255,7911.43436255
7912.242149,7925.72262053,7925.72262053
7925.235782,7939.45965744,7939.45965744
7934.468758,7949.57848674,7949.57848674
7942.3497,7957.70085736,7957.70085736
7946.022949,7961.90686697,7961.90686697
7949.685121,7966.10168166,7966.10168166
7947.482933,7964.63783545,7964.63783545
7945.506025,7963.39861899,7963.39861899
7936.496959,7955.06567243,7955.06567243
7927.881865,7947.12383891,7947.12383891
7913.886271,7933.37045867,7933.37045867
7899.714637,7919.43722953,7919.43722953
7882.978158,7902.12921876,7902.12921876
7866.27877,7884.85933218,7884.85933218
7851.222349,7868.19502115,7868.19502115
7835.851119,7851.22109958,7851.22109958
7824.862484,7837.7305494,7837.7305494
7814.420592,7824.80192388,7824.80192388
7809.794644,7817.36107228,7817.36107228
7806.002495,7810.75781238,7810.75781238
7806.522895,7808.58782314,7808.58782314
7807.10125,7807.04469473,7807.04469473
