BILLY-25,UCVM-25,UCVM-GTL-25
2756.051726,2734.66925106,351.273301423
2756.025671,2734.65279892,2734.65279892
2733.570358,2716.30032757,2716.30032757
2696.207155,2684.97664744,2684.97664744
2736.739154,2731.89452557,2731.89452557
2779.474221,2781.22166474,2781.22166474
2896.484806,2904.20469704,2904.20469704
3021.336632,3035.27679739,3035.27679739
3146.361646,3167.17644368,3167.17644368
3288.969123,3316.34471396,3316.34471396
3406.058001,3437.68383968,3437.68383968
3553.07912,3587.85428758,3587.85428758
3658.499969,3691.92672818,3691.92672818
3753.521476,3785.77493233,3785.77493233
3780.20213,3809.86166782,3809.86166782
3782.630746,3811.77630642,3811.77630642
3744.309781,3772.34709266,3772.34709266
3706.372176,3733.27003191,3733.27003191
3652.095244,3677.92161092,3677.92161092
3598.644564,3623.45036025,3623.45036025
3541.763203,3566.19013649,3566.19013649
3500.201096,3523.76039485,3523.76039485
3467.396282,3490.34384006,3490.34384006
3434.935544,3457.28219493,3457.28219493
3419.771203,3441.39449827,3441.39449827
3401.503272,3421.8524183,3421.8524183
3401.293256,3420.55392734,3420.55392734
3407.979781,3426.4752895,3426.4752895
3418.772614,3435.44751019,3435.44751019
3433.052414,3447.74046367,3447.74046367
3452.088574,3463.89910188,3463.89910188
3473.836128,3482.45560938,3482.45560938
3497.376582,3502.27341253,3502.27341253
3522.693276,3523.63139677,3523.63139677
3534.661696,3532.22984429,3532.22984429
3547.949412,3542.13500615,3542.13500615
3550.041576,3541.95567128,3541.95567128
3546.033383,3536.29038216,3536.29038216
3530.006351,3519.72621107,3519.72621107
3514.097213,3503.28216878,3503.28216878
3495.433353,3484.93806959,3484.93806959
3476.811465,3466.62052518,3466.62052518
3462.866594,3453.56762361,3453.56762361
3449.420365,3441.00681007,3441.00681007
3444.954298,3437.79556017,3437.79556017
3436.424571,3430.42222068,3430.42222068
3435.689673,3430.87070473,3430.87070473
3435.025529,3431.38634833,3431.38634833
3440.262941,3437.43701384,3437.43701384
3445.58714,3443.57255479,3443.57255479
3453.570334,3451.83729796,3451.83729796
3462.481653,3461.04408497,3461.04408497
3473.095198,3471.61436178,3471.61436178
3483.956747,3482.39460477,3482.39460477
3498.000496,3496.18701077,3496.18701077
3512.136236,3510.06859862,3510.06859862
3529.426459,3527.00898885,3527.00898885
3546.831399,3544.06003806,3544.06003806
3565.927805,3562.7875471,3562.7875471
3585.149004,3581.63581546,3581.63581546
3604.150723,3600.3576659,3600.3576659
3623.47679,3619.43521261,3619.43521261
3642.157759,3637.88999923,3637.88999923
3655.707543,3651.1385917,3651.1385917
3671.049362,3666.22489812,3666.22489812
3686.476597,3681.39575317,3681.39575317
3707.302003,3702.18153441,3702.18153441
3728.270961,3723.11261092,3723.11261092
3756.918766,3752.09510265,3752.09510265
3785.721572,3781.23761592,3781.23761592
3833.555436,3833.588188,3833.588188
3967.850677,3966.99861169,3966.99861169
4178.165548,4167.42753749,4167.42753749
4363.58832,4348.34441676,4348.34441676
4492.783649,4475.54482084,4475.54482084
4592.091,4580.00319377,4580.00319377
4622.781918,4629.62171473,4629.62171473
4638.95218,4646.69869858,4646.69869858
4650.519715,4658.8502895,4658.8502895
4661.534748,4670.43438139,4670.43438139
4669.265429,4678.85481622,4678.85481622
4675.703145,4685.62961861,4685.62961861
4678.490807,4689.00200538,4689.00200538
4681.224179,4692.31908689,4692.31908689
4678.959246,4690.81288235,4690.81288235
4676.849504,4689.46086736,4689.46086736
4668.806855,4682.12443522,4682.12443522
4661.058893,4675.08069935,4675.08069935
4648.800631,4663.16126797,4663.16126797
4636.370807,4651.06719762,4651.06719762
4621.826886,4636.17259439,4636.17259439
4607.292364,4621.28793733,4621.28793733
4594.20481,4606.96849212,4606.96849212
4580.840396,4592.37504114,4592.37504114
4571.269896,4580.80491157,4580.80491157
4562.146221,4569.69098962,4569.69098962
4558.00925,4563.27359016,4563.27359016
4554.614548,4557.5982203,4557.5982203
4554.856713,4555.65398501,4555.65398501
4555.136663,4553.7001857,4553.7001857
