BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
4767.020619,4774.78245367,4738.31182622,4565.446,4571.862
4767.055902,4774.81593272,4738.39718877,4565.41,4571.892
4776.369789,4783.53830411,4752.76362514,4587.708,4594.181
4816.386025,4822.66427797,4798.17136371,4643.291,4646.565
4948.567316,4954.54375163,4936.32732834,4792.952,4796.579
5082.745406,5088.35894002,5076.67006959,4945.062,4949.091
5280.237359,5285.63000961,5280.09870627,5159.029,5166.958
5479.594179,5484.68610265,5486.02285006,5375.812,5388.987
5671.472341,5675.58413572,5685.08111534,5583.988,5603.776
5859.476536,5862.32083583,5882.87524952,5792.252,5822.954
5975.366398,5975.91189043,6009.07905306,5925.143,5969.205
6182.773522,6184.64390504,6217.96790196,6121.469,6165.497
6285.262895,6287.07141138,6323.19939831,6224.757,6273.806
6363.819758,6364.46739254,6404.5684356,6311.793,6365.987
6377.302637,6376.91041984,6417.5749654,6332.824,6388.024
6395.299277,6393.66365859,6435.49991811,6358.281,6416.177
6373.730715,6371.25769166,6411.80651865,6341.174,6398.701
6351.070546,6347.82924683,6386.96389696,6322.669,6379.433
6306.016121,6302.46713495,6339.78776817,6277.943,6334.189
6262.435398,6258.59308074,6294.15508112,6234.612,6290.4
6214.849319,6210.98213725,6245.33375894,6186.057,6242.77
6159.873814,6156.39127451,6189.274188,6130.484,6184.486
6115.793522,6112.74224414,6144.47701769,6087.297,6138.736
6072.123664,6069.49567205,6100.10043176,6044.458,6093.367
6049.515994,6047.23046943,6076.68576586,6024.861,6070.137
6026.85281,6024.81177086,6052.61405882,6007.546,6048.854
6025.457897,6023.6984456,6050.06295925,6009.611,6046.097
6023.453418,6021.96805729,6047.03113303,6010.378,6041.906
6035.838162,6034.71373702,6057.16971588,6025.45,6049.91
6054.861726,6054.14356632,6073.62601807,6047.36,6064.005
6083.167859,6082.9891311,6098.19814264,6076.963,6083.591
6118.399373,6118.7941907,6129.16965206,6113.451,6108.896
6159.864625,6160.84818108,6165.60475394,6153.607,6137.867
6204.790838,6206.33936832,6205.20602384,6196.898,6169.656
6233.524875,6235.55378047,6229.39311226,6220.289,6184.163
6264.244979,6266.72080238,6255.58711842,6245.566,6200.643
6279.886228,6282.7544183,6268.2937501,6251.195,6200.961
6279.538285,6282.65860592,6266.21862937,6240.204,6187.847
6263.242011,6266.63101077,6249.65046943,6209.789,6158.067
6247.060231,6250.71441369,6233.20549135,6179.663,6128.629
6228.206371,6232.063,6215.0955075,6147.43,6098.556
6209.454583,6213.51453057,6197.0709504,6115.389,6068.623
6196.06604,6200.12383468,6185.09904383,6093.438,6049.731
6182.746255,6186.80219531,6173.18803422,6071.622,6030.956
6179.009965,6182.79201653,6171.29642291,6066.008,6029.368
6172.938304,6176.60779393,6166.58041792,6058.699,6024.819
6176.3807,6179.7217278,6171.41050673,6067.186,6036.555
6179.873237,6182.88683699,6176.28430488,6075.692,6048.314
6190.535786,6193.10914994,6187.90189735,6095.68,6071.248
6201.256482,6203.38967128,6199.57302115,6115.758,6094.289
6214.781588,6216.43677355,6213.46787274,6141.941,6122.882
6229.168262,6230.31710919,6228.24322876,6169.957,6153.672
6244.858785,6245.65776048,6243.90523991,6198.194,6183.907
6260.565363,6261.01532987,6259.5736709,6226.532,6214.255
6279.514706,6279.78612188,6278.29051019,6256.866,6246.478
6298.59474,6298.6857351,6297.13407113,6287.458,6278.988
6321.077336,6321.14927835,6319.26741945,6318.336,6311.545
6343.723299,6343.77591119,6341.5586832,6349.481,6344.395
6368.240865,6368.3814183,6365.6920273,6377.916,6374.156
6392.934583,6393.16459785,6389.99612995,6406.56,6404.144
6417.433556,6417.80006767,6414.19104767,6430.566,6429.122
6442.296905,6442.82929566,6438.80791003,6453.65,6453.777
6466.493249,6467.20723914,6462.73864052,6472.387,6473.081
6481.811692,6482.70559323,6477.67937562,6482.313,6483.359
6499.202007,6500.33229412,6494.72756478,6490.89,6491.227
6516.723256,6518.09247405,6511.90666705,6499.498,6499.122
6540.450481,6542.10292388,6535.53660669,6513.218,6511.436
6564.400177,6566.33999231,6559.39369281,6527.01,6523.806
6597.316217,6599.57732987,6592.64773933,6550.928,6546.402
6630.495952,6633.07985813,6626.17629566,6575.02,6569.148
6691.906267,6700.12664168,6694.3142276,6609.048,6602.517
6890.238381,6908.0538985,6890.71962207,6642.758,6635.636
7211.659673,7226.22155479,7195.92512764,6672.506,6666.03
7493.882107,7498.03367166,7470.55181699,7703.475,7707.939
7690.218785,7693.48298385,7663.48524606,7735.109,7738.683
7838.775313,7841.84014648,7820.05845252,7767.281,7771.088
7879.798962,7882.56539908,7891.35227105,7794.557,7798.364
7898.715517,7901.21585698,7911.43436255,7817.105,7820.759
7912.242149,7914.41702922,7925.72262053,7836.756,7840.341
7925.235782,7927.07856786,7939.45965744,7856.018,7859.511
7934.468758,7935.92358439,7949.57848674,7873.007,7877.143
7942.3497,7943.3084406,7957.70085736,7889.814,7893.485
7946.022949,7946.47299769,7961.90686697,7902.017,7906.049
7949.685121,7949.62537755,7966.10168166,7914.245,7918.637
7947.482933,7946.93966936,7964.63783545,7919.248,7924.595
7945.506025,7944.47955056,7963.39861899,7924.474,7930.775
7936.496959,7935.08094348,7955.06567243,7920.724,7928.208
7927.881865,7926.07686851,7947.12383891,7917.353,7926.017
7913.886271,7911.8572872,7933.37045867,7906.589,7915.97
7899.714637,7897.46314148,7919.43722953,7895.619,7905.707
7882.978158,7880.71080777,7902.12921876,7880.266,7890.038
7866.27877,7863.99488966,7884.85933218,7864.953,7874.409
7851.222349,7849.12508689,7868.19502115,7849.333,7857.137
7835.851119,7833.93990196,7851.22109958,7833.385,7839.541
7824.862484,7823.25741138,7837.7305494,7820.277,7823.704
7814.420592,7813.12029642,7824.80192388,7807.697,7808.408
7809.794644,7808.8085298,7817.36107228,7800.457,7798.117
7806.002495,7805.33195579,7810.75781238,7793.981,7788.581
7806.522895,7806.11296655,7808.58782314,7792.769,7784.488
