BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2756.051726,2765.25987659,2734.66925106,2585.26,2585.818
2756.025671,2765.23490581,2734.65279892,2585.196,2585.744
2733.570358,2742.47886198,2716.30032757,2565.631,2566.917
2696.207155,2704.24944752,2684.97664744,2531.651,2535.218
2736.739154,2744.14200423,2731.89452557,2580.903,2589.524
2779.474221,2786.21829642,2781.22166474,2632.493,2646.312
2896.484806,2902.75299193,2904.20469704,2760.872,2781.842
3021.336632,3027.15615879,3035.27679739,2898.032,2926.569
3146.361646,3151.08039985,3167.17644368,3037.163,3074.315
3288.969123,3292.68906421,3316.34471396,3195.407,3239.745
3406.058001,3408.74283353,3437.68383968,3324.881,3371.805
3553.07912,3555.37203268,3587.85428758,3482.499,3530.207
3658.499969,3660.57011111,3691.92672818,3598.861,3640.726
3753.521476,3755.06722107,3785.77493233,3705.231,3742.79
3780.20213,3781.21473664,3809.86166782,3739.306,3772.231
3782.630746,3782.76242945,3811.77630642,3746.506,3780.768
3744.309781,3743.76623683,3772.34709266,3709.733,3745.458
3706.372176,3705.17057401,3733.27003191,3673.597,3710.488
3652.095244,3650.65334602,3677.92161092,3617.953,3656.286
3598.644564,3596.96830911,3623.45036025,3563.118,3602.929
3541.763203,3540.1266386,3566.19013649,3503.621,3546.159
3500.201096,3498.82953787,3523.76039485,3463.107,3503.75
3467.396282,3466.36408766,3490.34384006,3432.39,3471.296
3434.935544,3434.23681238,3457.28219493,3401.986,3439.18
3419.771203,3419.3530396,3441.39449827,3390.63,3425.139
3401.503272,3401.25393925,3421.8524183,3378.407,3409.961
3401.293256,3401.25489273,3420.55392734,3382.269,3410.093
3407.979781,3408.20137255,3426.4752895,3392.405,3416.503
3418.772614,3419.25957439,3435.44751019,3406.093,3424.773
3433.052414,3433.79971665,3447.74046367,3422.999,3435.955
3452.088574,3453.172198,3463.89910188,3442.748,3448.414
3473.836128,3475.23523453,3482.45560938,3464.65,3462.342
3497.376582,3499.06885544,3502.27341253,3485.334,3475.179
3522.693276,3524.65320569,3523.63139677,3507.5,3489.097
3534.661696,3536.82411765,3532.22984429,3513.56,3488.91
3547.949412,3550.28948904,3542.13500615,3521.094,3490.118
3550.041576,3552.57618416,3541.95567128,3514.264,3479.211
3546.033383,3548.77652941,3536.29038216,3502.2,3464.401
3530.006351,3533.017401,3519.72621107,3475.065,3436.494
3514.097213,3517.37334179,3503.28216878,3448.168,3408.842
3495.433353,3498.92541522,3484.93806959,3418.871,3380.036
3476.811465,3480.52110573,3466.62052518,3389.666,3351.263
3462.866594,3466.6118712,3453.56762361,3369.361,3332.238
3449.420365,3453.17745444,3441.00681007,3349.396,3313.782
3444.954298,3448.46489504,3437.79556017,3344.589,3311.65
3436.424571,3439.79411496,3430.42222068,3334.798,3305.143
3435.689673,3438.76902537,3430.87070473,3338.528,3311.892
3435.025529,3437.81306805,3431.38634833,3342.353,3318.743
3440.262941,3442.69163322,3437.43701384,3355.576,3334.168
3445.58714,3447.65506959,3443.57255479,3368.973,3349.845
3453.570334,3455.2473714,3451.83729796,3388.092,3370.688
3462.481653,3463.73539792,3461.04408497,3409.273,3394.105
3473.095198,3474.0551411,3471.61436178,3431.264,3417.814
3483.956747,3484.60646674,3482.39460477,3453.532,3441.898
3498.000496,3498.48572049,3496.18701077,3477.833,3467.923
3512.136236,3512.45566974,3510.06859862,3502.319,3494.153
3529.426459,3529.72362514,3527.00898885,3527.141,3520.498
3546.831399,3547.10611342,3544.06003806,3552.154,3547.054
3565.927805,3566.2755717,3562.7875471,3574.722,3570.823
3585.149004,3585.57065436,3581.63581546,3597.445,3594.759
3604.150723,3604.68764168,3600.3576659,3615.934,3614.148
3623.47679,3624.15532334,3619.43521261,3633.752,3633.39
3642.157759,3642.99036678,3637.88999923,3647.473,3647.679
3655.707543,3656.69089235,3651.1385917,3656.27,3656.832
3671.049362,3672.2309604,3666.22489812,3663.821,3663.817
3686.476597,3687.85819416,3681.39575317,3671.394,3670.82
3707.302003,3708.91932449,3702.18153441,3683.445,3681.682
3728.270961,3730.12658708,3723.11261092,3695.544,3692.581
3756.918766,3759.03511726,3752.09510265,3716.415,3712.314
3785.721572,3788.09873356,3781.23761592,3737.402,3732.148
3833.555436,3839.48879239,3833.588188,3766.707,3760.907
3967.850677,3979.82316917,3966.99861169,3795.682,3789.392
4178.165548,4188.06398155,4167.42753749,3821.219,3815.414
4363.58832,4366.91668743,4348.34441676,4475.91,4475.487
4492.783649,4495.49437716,4475.54482084,4502.771,4501.414
4592.091,4594.61456248,4580.00319377,4530.356,4529.002
4622.781918,4625.03205498,4629.62171473,4553.925,4552.43
4638.95218,4640.95759246,4646.69869858,4573.428,4571.648
4650.519715,4652.22902537,4658.8502895,4590.437,4588.489
4661.534748,4662.94301115,4670.43438139,4606.996,4604.864
4669.265429,4670.3269827,4678.85481622,4621.514,4619.825
4675.703145,4676.35713456,4685.62961861,4635.406,4633.547
4678.490807,4678.72841792,4689.00200538,4645.28,4643.952
4681.224179,4681.0443291,4692.31908689,4655.128,4654.327
4678.959246,4678.38546751,4690.81288235,4658.81,4659.031
4676.849504,4675.8814679,4689.46086736,4662.647,4663.892
4668.806855,4667.52392234,4682.12443522,4658.902,4661.355
4661.058893,4659.46126144,4675.08069935,4655.449,4659.106
4648.800631,4647.02726759,4663.16126797,4645.797,4650.26
4636.370807,4634.42236063,4651.06719762,4635.954,4641.216
4621.826886,4619.87848712,4636.17259439,4622.453,4627.643
4607.292364,4605.3435521,4621.28793733,4608.966,4614.084
4594.20481,4592.42890042,4606.96849212,4595.241,4599.147
4580.840396,4579.23708574,4592.37504114,4581.229,4583.926
4571.269896,4569.94213303,4580.80491157,4569.669,4570.228
4562.146221,4561.09293272,4569.69098962,4558.541,4556.969
4558.00925,4557.23958093,4563.27359016,4551.989,4547.989
4554.614548,4554.12956901,4557.5982203,4546.125,4539.689
4554.856713,4554.61002499,4555.65398501,4544.725,4535.997
4555.136663,4555.12819108,4553.7001857,4543.329,4531.402
