BILLY-25,MODEL-25
4767.020619,4774.78245367
4767.055902,4774.81593272
4776.369789,4783.53830411
4816.386025,4822.66427797
4948.567316,4954.54375163
5082.745406,5088.35894002
5280.237359,5285.63000961
5479.594179,5484.68610265
5671.472341,5675.58413572
5859.476536,5862.32083583
5975.366398,5975.91189043
6182.773522,6184.64390504
6285.262895,6287.07141138
6363.819758,6364.46739254
6377.302637,6376.91041984
6395.299277,6393.66365859
6373.730715,6371.25769166
6351.070546,6347.82924683
6306.016121,6302.46713495
6262.435398,6258.59308074
6214.849319,6210.98213725
6159.873814,6156.39127451
6115.793522,6112.74224414
6072.123664,6069.49567205
6049.515994,6047.23046943
6026.85281,6024.81177086
6025.457897,6023.6984456
6023.453418,6021.96805729
6035.838162,6034.71373702
6054.861726,6054.14356632
6083.167859,6082.9891311
6118.399373,6118.7941907
6159.864625,6160.84818108
6204.790838,6206.33936832
6233.524875,6235.55378047
6264.244979,6266.72080238
6279.886228,6282.7544183
6279.538285,6282.65860592
6263.242011,6266.63101077
6247.060231,6250.71441369
6228.206371,6232.063
6209.454583,6213.51453057
6196.06604,6200.12383468
6182.746255,6186.80219531
6179.009965,6182.79201653
6172.938304,6176.60779393
6176.3807,6179.7217278
6179.873237,6182.88683699
6190.535786,6193.10914994
6201.256482,6203.38967128
6214.781588,6216.43677355
6229.168262,6230.31710919
6244.858785,6245.65776048
6260.565363,6261.01532987
6279.514706,6279.78612188
6298.59474,6298.6857351
6321.077336,6321.14927835
6343.723299,6343.77591119
6368.240865,6368.3814183
6392.934583,6393.16459785
6417.433556,6417.80006767
6442.296905,6442.82929566
6466.493249,6467.20723914
6481.811692,6482.70559323
6499.202007,6500.33229412
6516.723256,6518.09247405
6540.450481,6542.10292388
6564.400177,6566.33999231
6597.316217,6599.57732987
6630.495952,6633.07985813
6691.906267,6700.12664168
6890.238381,6908.0538985
7211.659673,7226.22155479
7493.882107,7498.03367166
7690.218785,7693.48298385
7838.775313,7841.84014648
7879.798962,7882.56539908
7898.715517,7901.21585698
7912.242149,7914.41702922
7925.235782,7927.07856786
7934.468758,7935.92358439
7942.3497,7943.3084406
7946.022949,7946.47299769
7949.685121,7949.62537755
7947.482933,7946.93966936
7945.506025,7944.47955056
7936.496959,7935.08094348
7927.881865,7926.07686851
7913.886271,7911.8572872
7899.714637,7897.46314148
7882.978158,7880.71080777
7866.27877,7863.99488966
7851.222349,7849.12508689
7835.851119,7833.93990196
7824.862484,7823.25741138
7814.420592,7813.12029642
7809.794644,7808.8085298
7806.002495,7805.33195579
7806.522895,7806.11296655
7807.10125,7806.95177163
