PO-MODEL-0,PO-UCVM-0
2150.8689,2123.511
5689.687,5527.252
5491.9941,5338.413
5314.0679,5187.764
5174.5742,5075.881
5044.043,4967.91
4988.1841,4977.055
5009.3892,5074.367
5120.313,5124.625
5184.0029,5141.073
5663.5669,5184.245
5724.4541,5505.755
5925.542,5654.511
6072.9321,5793.687
6194.2788,5912.389
6292.1299,5979.695
6385.8398,6055.839
6489.9619,6159.42
6616.8159,6240.893
6743.7329,6324.028
6831.1748,6370.863
6914.1748,6412.439
6969.3052,6430.428
7017.1689,6444.595
6609.8599,6448.049
6591.6802,6441.948
6573.9111,6440.633
6582.8799,6465.736
6569.4438,6467.096
6545.9819,6458.693
6528.0332,6451.906
6512.0352,6445.249
6480.771,6421.686
6454.5249,6401.651
6440.6299,6390.104
6431.3511,6382.267
6428.4102,6381.716
6436.8921,6392.622
6442.4019,6402.845
6448.061,6413.414
6456.8359,6430.395
6465.8311,6447.46
6484.4302,6476.609
6504.0801,6506.178
6532.2739,6545.811
6535.7329,6555.056
6546.854,6572.467
6557.8828,6589.899
6573.2349,6610.618
6588.6812,6631.557
6594.415,6640.585
6596.1909,6647.073
6592.2822,6643.995
6587.8311,6639.786
6570.5381,6619.21
6553.312,6598.413
6533.75,6572.065
6514.0322,6545.578
6521.7822,6542.38
6521.0361,6534.391
7614.1221,7656.444
7621.7422,7667.671
7578.6099,7628.175
7536.688,7589.446
7483.5122,7538.184
7430.9019,7487.431
7387.2549,7444.306
7343.8838,7401.329
7317.6792,7374.807
7291.3398,7348.105
7285.0659,7340.037
7279.5732,7332.598
7291.2031,7341.268
7303.3691,7350.539
7328.1421,7372.467
7353.6328,7395.033
7385.9541,7424.885
7410.1938,7446.703
7440.2222,7474.731
7469.8081,7502.334
7500.2402,7530.59
7528.6538,7557.337
7557.1099,7584.074
7585.8179,7611.058
7613.123,7636.805
7640.9102,7663.01
7665.564,7686.357
7690.7881,7710.26
7710.478,7729.045
7730.0859,7747.724
7739.2192,7756.42
7748.3638,7765.133
7742.543,7759.471
7736.27,7753.385
7712.2061,7730.062
7688.7822,7707.43
7654.1382,7673.888
7620.2432,7641.127
7587.2422,7608.904
7554.5278,7573.497
