PO-MODEL-0,PO-UCVM-0
1206.052,1196.365
3373.2439,3224.602
3254.7351,3119.202
3132.012,3021.025
2993.717,2909.408
2860.698,2800.967
2776.168,2772.592
2757.8689,2807.011
2807.6851,2797.649
2795.074,2754.484
3122.8081,2747.697
3166.689,3022.992
3297.064,3135.43
3391.979,3242.719
3475.603,3350.624
3540.51,3432.285
3612.4761,3507.558
3690.384,3583.857
3782.1101,3647.889
3874.6201,3713.686
3940.3091,3754.692
4004.762,3777.571
4045.127,3780.025
4083.458,3781.449
3894.0801,3771.328
3868.6799,3752.43
3840.7561,3734.67
3841.9629,3746.908
3823.021,3737.453
3794.729,3718.464
3766.542,3696.565
3739.0791,3674.182
3698.821,3637.822
3663.7771,3606.29
3636.7739,3580.478
3614.3291,3559.551
3597.5591,3546.908
3596.614,3551.595
3595.1909,3557.761
3594.6189,3565.16
3597.9121,3578.922
3602.3279,3593.124
3613.6121,3616.282
3624.864,3639.387
3643.0779,3670.873
3646.9441,3679.284
3657.228,3694.469
3667.646,3709.904
3681.624,3727.883
3695.8589,3746.231
3701.6609,3754.347
3703.8501,3759.788
3699.4829,3755.444
3695.6389,3751.426
3680.3301,3733.088
3665.2119,3714.781
3648.522,3692.0
3632.093,3669.358
3638.8931,3666.37
3636.908,3658.398
4331.041,4367.86
4333.937,4372.609
4296.208,4337.437
4259.938,4303.714
4213.938,4259.437
4168.3389,4215.531
4130.54,4178.368
4093.2119,4141.39
4072.759,4120.02
4053.3081,4099.414
4051.5911,4095.574
4049.386,4091.564
4061.95,4101.557
4074.7539,4111.912
4098.5942,4133.306
4128.1919,4160.375
4164.0688,4194.081
4197.1362,4224.957
4230.0122,4256.065
4260.7192,4285.048
4291.0322,4313.5
4319.2852,4340.274
4346.6172,4366.062
4373.4189,4391.294
4398.6938,4415.116
4423.8628,4438.804
4446.3511,4460.048
4468.9092,4481.346
4486.5688,4498.12
4503.9849,4514.624
4512.3442,4522.511
4520.583,4530.264
4515.9609,4525.651
4510.9941,4520.682
4490.9321,4501.077
4471.3682,4481.991
4442.1602,4453.55
4413.8569,4426.023
4385.8911,4398.558
4358.127,4368.909
