BILLY-25,UCVM-25,UCVM-GTL-25
4543.266601,4515.2240842,978.128994617
4549.082349,4521.22114225,4521.22114225
4725.056817,4707.58283737,4707.58283737
4951.849423,4942.38922414,4942.38922414
5229.227313,5220.05329835,5220.05329835
5522.682707,5513.38101423,5513.38101423
5776.405736,5758.74005383,5758.74005383
6034.19521,6007.71478739,6007.71478739
6213.732153,6176.55306421,6176.55306421
6397.210019,6348.42164706,6348.42164706
6481.662357,6430.19848289,6430.19848289
6570.050596,6523.72082238,6523.72082238
6588.84133,6553.62025682,6553.62025682
6597.054856,6568.94490004,6568.94490004
6583.348897,6565.85970857,6565.85970857
6585.632768,6578.69692734,6578.69692734
6569.401373,6572.98074356,6572.98074356
6549.724375,6563.6209827,6563.6209827
6505.7599,6526.73196386,6526.73196386
6463.097497,6490.82813149,6490.82813149
6395.613741,6426.26427143,6426.26427143
6257.780111,6289.32084006,6289.32084006
6114.975867,6145.51002461,6145.51002461
5977.179058,6006.48954556,6006.48954556
5852.954591,5880.59439523,5880.59439523
5729.291699,5754.91883237,5754.91883237
5643.627943,5667.3299258,5667.3299258
5576.526255,5598.98700615,5598.98700615
5575.020884,5595.08023453,5595.08023453
5582.970903,5600.47631603,5600.47631603
5674.244687,5688.55960515,5688.55960515
5781.957047,5793.17545406,5793.17545406
5970.223902,5978.82348943,5978.82348943
6216.826551,6220.72404306,6220.72404306
6373.450557,6371.71652211,6371.71652211
6556.346144,6548.01536255,6548.01536255
6652.296678,6639.03766782,6639.03766782
6701.224583,6683.29690773,6683.29690773
6685.491511,6666.49237409,6666.49237409
6669.426636,6649.35573895,6649.35573895
6624.028474,6606.67254056,6606.67254056
6579.168785,6564.41814033,6564.41814033
6526.568693,6516.77141292,6516.77141292
6474.518512,6469.52585506,6469.52585506
6428.297086,6428.6835817,6428.6835817
6423.138339,6428.49221261,6428.49221261
6423.808255,6432.9297574,6432.9297574
6424.281084,6437.13280085,6437.13280085
6424.578697,6438.65437447,6438.65437447
6424.623379,6439.89464898,6439.89464898
6416.717424,6430.35628412,6430.35628412
6408.209812,6420.48455709,6420.48455709
6401.742295,6410.64951826,6410.64951826
6393.200634,6398.80942484,6398.80942484
6386.091126,6387.70855094,6387.70855094
6379.022299,6376.67338447,6376.67338447
6378.451096,6372.73286544,6372.73286544
6377.819196,6368.73658708,6368.73658708
6391.613591,6380.81660977,6380.81660977
6405.235252,6392.70714033,6392.70714033
6444.899627,6433.12998962,6433.12998962
6484.863872,6472.65868589,6472.65868589
6624.518981,6668.73960938,6668.73960938
6939.963825,7009.15736755,7009.15736755
7326.09316,7377.85878701,7377.85878701
7613.569485,7627.0001015,7627.0001015
7751.941142,7727.43413841,7727.43413841
7801.673556,7776.82400654,7776.82400654
7820.04015,7802.73752326,7802.73752326
7838.673249,7825.60911842,7825.60911842
7844.235652,7837.63425375,7837.63425375
7850.671745,7850.52108266,7850.52108266
7854.169343,7860.77493849,7860.77493849
7857.809823,7871.2056113,7871.2056113
7863.28451,7882.47240062,7882.47240062
7860.978704,7885.60260169,7885.60260169
7858.519623,7886.79987851,7886.79987851
7850.255882,7882.15170396,7882.15170396
7848.260527,7882.22490811,7882.22490811
7847.04574,7883.13794002,7883.13794002
7847.341349,7884.0055644,7884.0055644
7851.287263,7888.62854364,7888.62854364
7854.816436,7891.6847624,7891.6847624
7858.87035,7895.28968281,7895.28968281
7860.555444,7895.74707305,7895.74707305
7862.899458,7896.8873291,7896.8873291
7861.790031,7893.91030565,7893.91030565
7861.449385,7891.73246098,7891.73246098
7856.197174,7884.25459131,7884.25459131
7850.816267,7876.64647712,7876.64647712
7836.663037,7860.0404729,7860.0404729
7822.670419,7843.61994464,7843.61994464
7797.191326,7815.76184621,7815.76184621
7771.531761,7787.73205229,7787.73205229
7734.80103,7748.84682468,7748.84682468
7699.13669,7711.07005613,7711.07005613
7659.195752,7669.23769935,7669.23769935
7620.670834,7628.8341807,7628.8341807
7585.175167,7591.62429681,7591.62429681
7550.028993,7553.43949135,7553.43949135
