BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
4543.266601,4553.72239523,4515.2240842,4715.113,4579.294
4549.082349,4559.49699385,4521.22114225,4721.23,4585.591
4725.056817,4732.95202307,4707.58283737,4936.814,4812.621
4951.849423,4957.85347174,4942.38922414,5181.669,5064.622
5229.227313,5234.56363014,5220.05329835,5468.088,5348.845
5522.682707,5527.39759708,5513.38101423,5772.829,5650.954
5776.405736,5782.05634679,5758.74005383,6017.893,5891.447
6034.19521,6040.8689108,6007.71478739,6266.312,6140.723
6213.732153,6221.86391772,6176.55306421,6415.042,6281.704
6397.210019,6406.74038447,6348.42164706,6562.481,6418.426
6481.662357,6491.45372011,6430.19848289,6589.264,6453.099
6570.050596,6579.2123514,6523.72082238,6610.131,6493.035
6588.84133,6596.19982122,6553.62025682,6566.356,6479.003
6597.054856,6603.15484083,6568.94490004,6527.387,6464.511
6583.348897,6587.64281892,6565.85970857,6495.624,6456.566
6585.632768,6588.33279931,6578.69692734,6499.703,6478.267
6569.401373,6570.47686044,6572.98074356,6508.407,6497.843
6549.724375,6549.20363668,6563.6209827,6510.638,6511.57
6505.7599,6503.93993387,6526.73196386,6500.023,6504.318
6463.097497,6460.02746674,6490.82813149,6489.361,6496.866
6395.613741,6391.64992157,6426.26427143,6453.816,6458.643
6257.780111,6253.21326105,6289.32084006,6307.14,6312.217
6114.975867,6110.28316955,6145.51002461,6147.168,6151.489
5977.179058,5972.40748674,6006.48954556,5991.655,5995.15
5852.954591,5848.5630965,5880.59439523,5839.991,5844.727
5729.291699,5725.31440907,5754.91883237,5689.367,5694.985
5643.627943,5640.41614917,5667.3299258,5572.705,5580.146
5576.526255,5573.9502253,5598.98700615,5479.355,5487.977
5575.020884,5573.35412995,5595.08023453,5468.444,5474.3
5582.970903,5582.2881311,5600.47631603,5475.024,5477.547
5674.244687,5674.5377451,5688.55960515,5584.221,5582.371
5781.957047,5783.28721069,5793.17545406,5651.024,5655.756
5970.223902,5972.44611572,5978.82348943,5967.96,5956.873
