BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2609.615786,2619.96635063,2577.11295771,2599.972,2500.716
2611.064648,2621.41407113,2578.56157555,2601.411,2502.118
2725.267547,2733.78357709,2700.82633718,2745.325,2654.1
2874.905336,2882.04419493,2855.20346521,2915.281,2827.356
3047.575236,3054.34741446,3025.92498501,3101.422,3008.352
3232.074414,3238.48833641,3208.38676355,3301.093,3202.74
3384.622249,3391.77526144,3352.83839831,3453.143,3345.791
3541.58847,3549.50434064,3501.72953403,3609.306,3495.789
3642.787024,3651.77813802,3593.65273895,3691.711,3568.522
3750.644102,3760.57410996,3692.74707228,3777.463,3644.286
3795.278032,3805.18989427,3737.09109535,3783.769,3655.855
3838.298316,3847.67361246,3783.39931373,3784.057,3667.893
3840.751803,3848.68053672,3795.35419723,3749.221,3654.429
3839.603022,3846.32326644,3803.23419108,3718.072,3643.111
3819.688185,3824.95243483,3793.59328143,3688.772,3633.68
3799.326778,3803.46939485,3781.69430527,3669.061,3629.534
3767.562022,3770.55167397,3757.86347866,3655.163,3626.481
3734.222584,3736.08408958,3732.22052595,3638.67,3620.362
3685.386955,3686.27768781,3689.14007343,3615.2,3601.496
3637.525148,3637.4784083,3646.8913514,3591.963,3582.79
3569.149473,3568.42433833,3581.28435717,3546.728,3537.373
3461.702718,3460.17516263,3476.63872049,3444.429,3437.146
3347.352311,3345.4450396,3363.54735755,3326.83,3320.463
3236.796605,3234.53487812,3254.15887889,3212.802,3207.364
3136.705736,3134.51681738,3154.81231142,3100.196,3097.332
3030.811003,3028.8054083,3049.0724183,2982.053,2981.001
2958.927389,2957.45484468,2977.32534833,2894.21,2895.79
2918.020938,2916.77901269,2937.88649596,2840.232,2845.134
2923.674514,2923.15779854,2942.67369666,2842.089,2846.039
2937.307724,2937.52996655,2955.2800123,2856.292,2859.168
3023.549677,3024.51680238,3039.43881469,2957.372,2957.49
3127.321538,3129.09939023,3140.6740073,3083.431,3080.074
3290.271465,3292.6881534,3300.26037063,3283.382,3275.181
3487.253083,3490.43113802,3492.53605729,3574.516,3540.301
3634.220458,3637.64548366,3633.18498231,3716.745,3692.932
3785.884271,3789.6031484,3778.13074894,3909.866,3875.134
3864.105582,3867.65434218,3850.90099308,4011.595,3966.245
3906.352718,3909.69946405,3888.46038908,4056.599,4005.218
3894.755452,3897.38836909,3875.28001115,4036.077,3986.099
3883.036113,3884.96534679,3861.98055056,4015.094,3966.536
3846.223795,3847.19985429,3826.71103537,3967.022,3924.551
3809.892545,3809.93875894,3791.82119377,3919.592,3883.0
3766.613268,3765.72709304,3751.98008304,3865.231,3837.001
3723.71321,3721.92382968,3712.42357785,3811.165,3791.158
3685.390884,3682.84128835,3677.99976778,3761.306,3749.762
3676.322076,3672.8539431,3673.37666128,3756.461,3751.013
3672.012561,3667.93516993,3672.51788043,3754.156,3752.731
3667.620223,3662.9387005,3671.55708497,3751.701,3754.277
3662.785071,3657.92686621,3667.98543176,3745.287,3747.968
3657.823276,3652.79019723,3664.26918877,3738.738,3741.504
3645.048412,3640.26697578,3650.20253672,3720.48,3719.022
3631.853533,3627.3194133,3636.02262322,3700.061,3694.995
3622.656594,3618.57601192,3624.06849481,3683.869,3672.567
3610.093687,3606.47728028,3608.75497001,3663.64,3645.992
3598.7408,3595.70491657,3594.02330988,3643.269,3619.203
3587.40807,3584.94936717,3579.33052172,3622.886,3592.468
3581.923164,3580.02298347,3571.03263822,3609.013,3574.095
3576.398251,3575.05773972,3562.69690235,3595.055,3555.666
3583.920404,3582.98489927,3568.90050442,3597.78,3556.634
3591.327943,3590.8025321,3574.97137755,3600.341,3557.434
3621.814348,3621.37823068,3606.3017451,3631.911,3591.166
3652.235479,3651.93606036,3636.45983852,3665.424,3625.314
3752.377589,3751.19580354,3772.04954556,3737.062,3701.499
3961.494625,3952.26276355,3997.01788351,3793.875,3760.44
4217.765044,4205.86364667,4242.86708958,4453.603,4411.556
4413.696028,4404.12461861,4415.17253633,4529.825,4486.847
4510.935194,4504.87309765,4489.48426528,4574.539,4534.467
4553.902964,4551.41050211,4532.57978047,4620.056,4582.737
4571.71208,4572.90195656,4556.10224913,4639.617,4610.04
4589.665467,4591.22756632,4577.71824298,4659.142,4637.369
4596.500696,4597.90754787,4590.12762168,4664.914,4653.248
4603.969881,4605.21359669,4603.14680854,4671.708,4670.235
4608.932188,4609.65492388,4613.9267005,4673.986,4682.639
4613.932449,4614.13106113,4624.76913379,4676.172,4694.998
4620.508693,4620.09342637,4636.31320877,4678.498,4705.881
4622.875963,4621.90277778,4643.51997463,4675.659,4711.247
4625.415194,4623.99019454,4649.35942253,4671.627,4712.357
4625.936225,4624.07226336,4653.18567974,4666.208,4712.348
4628.673725,4626.47354402,4657.81206344,4663.169,4712.444
4631.154744,4628.61314879,4662.18793964,4660.025,4712.454
4634.504271,4631.74139023,4666.07975433,4658.302,4711.675
4639.505855,4636.52568781,4671.71230681,4659.194,4714.31
4643.812995,4640.7024729,4675.65476855,4659.627,4714.955
4648.219208,4644.97543099,4679.69967974,4660.229,4715.789
4650.487651,4647.1511411,4680.9462599,4659.315,4714.125
4653.059339,4649.62704344,4682.5014802,4658.756,4712.84
4652.727036,4649.23235755,4680.59971703,4656.869,4709.291
4652.828358,4649.26752364,4679.14037409,4655.464,4706.261
4648.701453,4645.17499769,4673.12895271,4651.084,4699.421
4644.374302,4640.88337524,4666.90858131,4646.522,4692.396
4632.59178,4629.32998885,4653.07150442,4634.732,4677.213
4620.876236,4617.83973356,4639.32009227,4623.013,4662.142
4599.30506,4596.73583045,4615.77921992,4600.489,4635.464
4577.557762,4575.45347174,4592.07203998,4577.79,4608.641
4546.277063,4544.80250673,4559.04055825,4544.302,4570.674
4515.816678,4514.96183468,4526.86359246,4511.671,4533.653
4481.504729,4481.28302422,4491.01623491,4474.763,4492.717
4448.457924,4448.86085429,4456.44386928,4439.154,4453.144
4417.65401,4418.61524337,4424.20683122,4405.901,4416.372
4387.062395,4388.57584852,4390.83610688,4372.875,4377.689
