BILLY-25,UCVM-25
2609.615786,2577.11295771
2611.064648,2578.56157555
2725.267547,2700.82633718
2874.905336,2855.20346521
3047.575236,3025.92498501
3232.074414,3208.38676355
3384.622249,3352.83839831
3541.58847,3501.72953403
3642.787024,3593.65273895
3750.644102,3692.74707228
3795.278032,3737.09109535
3838.298316,3783.39931373
3840.751803,3795.35419723
3839.603022,3803.23419108
3819.688185,3793.59328143
3799.326778,3781.69430527
3767.562022,3757.86347866
3734.222584,3732.22052595
3685.386955,3689.14007343
3637.525148,3646.8913514
3569.149473,3581.28435717
3461.702718,3476.63872049
3347.352311,3363.54735755
3236.796605,3254.15887889
3136.705736,3154.81231142
3030.811003,3049.0724183
2958.927389,2977.32534833
2918.020938,2937.88649596
2923.674514,2942.67369666
2937.307724,2955.2800123
3023.549677,3039.43881469
3127.321538,3140.6740073
3290.271465,3300.26037063
3487.253083,3492.53605729
3634.220458,3633.18498231
3785.884271,3778.13074894
3864.105582,3850.90099308
3906.352718,3888.46038908
3894.755452,3875.28001115
3883.036113,3861.98055056
3846.223795,3826.71103537
3809.892545,3791.82119377
3766.613268,3751.98008304
3723.71321,3712.42357785
3685.390884,3677.99976778
3676.322076,3673.37666128
3672.012561,3672.51788043
3667.620223,3671.55708497
3662.785071,3667.98543176
3657.823276,3664.26918877
3645.048412,3650.20253672
3631.853533,3636.02262322
3622.656594,3624.06849481
3610.093687,3608.75497001
3598.7408,3594.02330988
3587.40807,3579.33052172
3581.923164,3571.03263822
3576.398251,3562.69690235
3583.920404,3568.90050442
3591.327943,3574.97137755
3621.814348,3606.3017451
3652.235479,3636.45983852
3752.377589,3772.04954556
3961.494625,3997.01788351
4217.765044,4242.86708958
4413.696028,4415.17253633
4510.935194,4489.48426528
4553.902964,4532.57978047
4571.71208,4556.10224913
4589.665467,4577.71824298
4596.500696,4590.12762168
4603.969881,4603.14680854
4608.932188,4613.9267005
4613.932449,4624.76913379
4620.508693,4636.31320877
4622.875963,4643.51997463
4625.415194,4649.35942253
4625.936225,4653.18567974
4628.673725,4657.81206344
4631.154744,4662.18793964
4634.504271,4666.07975433
4639.505855,4671.71230681
4643.812995,4675.65476855
4648.219208,4679.69967974
4650.487651,4680.9462599
4653.059339,4682.5014802
4652.727036,4680.59971703
4652.828358,4679.14037409
4648.701453,4673.12895271
4644.374302,4666.90858131
4632.59178,4653.07150442
4620.876236,4639.32009227
4599.30506,4615.77921992
4577.557762,4592.07203998
4546.277063,4559.04055825
4515.816678,4526.86359246
4481.504729,4491.01623491
4448.457924,4456.44386928
4417.65401,4424.20683122
4387.062395,4390.83610688
