PO-MODEL-0,PO-UCVM-0
1589.967,1580.931
1976.374,1999.216
2305.1531,2331.462
2591.2671,2624.414
2857.791,3181.169
3503.5869,3975.805
4053.988,4066.75
4109.9268,4146.862
4314.2021,4376.316
4610.856,4633.031
4773.5479,4864.031
5550.3838,5587.465
6562.709,6638.268
6759.6172,6823.317
6957.8979,7010.563
7158.5908,7188.944
7169.3921,7184.888
7166.6641,7171.119
7117.9102,7118.123
7069.542,7065.756
7015.4619,7008.955
6941.9238,6945.782
6880.1729,6889.622
6818.9868,6833.954
6769.3208,6784.366
6715.4932,6730.713
6673.1621,6685.64
6648.8428,6658.193
6633.8618,6640.053
6630.9058,6635.011
6648.7212,6652.763
6682.4258,6686.577
6739.1138,6744.463
6798.9692,6804.859
6855.958,6861.935
6908.166,6914.768
6943.0781,6951.306
6936.9448,6943.605
6924.9102,6928.665
6912.5811,6913.467
6896.3682,6895.132
6879.9561,6876.672
6859.7261,6855.316
6839.2241,6833.715
6814.4419,6808.899
6814.2549,6813.973
6811.8071,6817.13
6809.312,6820.205
6809.186,6825.306
6809.0,6830.311
6810.438,6835.712
6809.9819,6839.461
6820.2261,6852.441
6828.9341,6863.913
6844.5581,6881.428
6858.459,6897.459
7675.5132,6945.099
7754.3901,7794.783
7821.252,7860.046
7891.0708,7928.075
7948.875,7981.186
7960.271,7989.262
7964.686,7986.943
7968.5942,7984.106
7970.042,7978.311
7970.8242,7971.957
7969.9639,7964.27
7968.748,7956.196
7969.1719,7950.138
7968.3638,7942.363
7970.3179,7938.058
7972.915,7934.34
7981.7598,7937.673
7990.5,7940.947
8004.5332,7950.059
8017.4448,7957.603
8028.1162,7964.393
8036.6201,7968.682
8043.9551,7972.936
8050.502,7976.646
8053.4819,7978.128
8059.103,7982.111
8061.4321,7984.375
8063.6152,7986.585
8063.979,7988.328
8064.4912,7990.278
8063.126,7991.605
8062.0928,7993.304
8058.5498,7993.837
8054.7051,7994.096
8046.6558,7991.467
8038.585,7988.852
8025.2891,7982.031
8011.6299,7974.896
7992.9419,7962.963
7975.021,7951.813
7956.1431,7939.005
7938.7959,7927.647
7922.1011,7916.467
7905.7642,7898.346
