PO-MODEL-0,PO-UCVM-0
842.25702,846.424
1035.615,1056.027
1217.907,1235.662
1402.085,1459.566
1613.875,1834.533
2049.8081,2354.04
2320.532,2322.469
2235.7429,2300.615
2341.9709,2388.733
2450.238,2477.36
2632.1589,2713.683
2967.947,3004.629
3428.8979,3466.519
3672.8511,3706.376
3908.9351,3927.407
4094.104,4094.314
4154.1968,4144.446
4204.2251,4186.399
4208.1709,4188.935
4211.7959,4191.229
4199.9111,4179.841
4158.041,4145.956
4117.2759,4110.255
4077.0491,4075.021
4039.802,4039.217
4000.093,4000.371
3966.177,3965.582
3940.5391,3941.479
3915.147,3917.763
3893.563,3898.146
3881.9939,3890.21
3875.0959,3887.625
3880.582,3898.356
3887.752,3910.378
3901.637,3927.758
3917.0449,3946.576
3940.1411,3971.943
3955.9399,3985.864
3970.2991,3997.401
3984.4839,4008.73
3995.407,4017.383
4006.373,4026.104
4014.084,4032.334
4021.7471,4038.511
4026.0081,4042.107
4008.8579,4027.73
3989.8501,4011.729
3970.907,3995.754
3954.0149,3981.466
3937.136,3967.107
3922.4541,3953.768
3905.894,3939.153
3896.1699,3929.886
3886.804,3920.895
3882.875,3916.664
3877.7871,3911.434
4444.4312,3930.475
4494.8569,4535.621
4537.5361,4576.756
4582.7251,4620.23
4618.9058,4652.203
4628.9751,4658.947
4633.25,4657.269
4636.8599,4655.057
4638.272,4650.39
4639.3872,4645.566
4639.6079,4639.988
4639.729,4634.318
4641.7959,4630.993
4643.5059,4627.097
4647.7402,4626.102
4651.9331,4624.829
4661.001,4629.124
4669.833,4633.294
4683.0591,4642.432
4697.5498,4652.507
4710.1211,4661.804
4721.9712,4670.019
4731.1699,4676.519
4739.1211,4681.97
4743.5708,4685.016
4749.75,4689.741
4752.7939,4692.654
4755.4839,4695.29
4756.4932,4697.389
4757.4609,4699.497
4756.8501,4701.078
4756.373,4702.828
4753.8188,4703.611
4750.9419,4704.091
4744.7441,4702.314
4738.4341,4700.442
4728.1362,4695.401
4717.4951,4690.032
4703.1011,4681.148
4689.3311,4672.918
4674.8652,4663.508
4661.897,4655.507
4649.1309,4647.292
4636.6108,4633.729
