BILLY-25,UCVM-25,UCVM-GTL-25
1747.164937,1743.13378816,761.34161707
2422.776594,2471.38481968,2471.38481968
2574.058001,2591.3842649,2591.3842649
2867.428858,2920.63049789,2920.63049789
3152.6503,3228.12383737,3228.12383737
3480.521669,3573.34253941,3573.34253941
3731.109812,3812.35851019,3812.35851019
3972.003614,4062.57802384,4062.57802384
4209.791273,4308.82811726,4308.82811726
4427.445221,4532.09592272,4532.09592272
4584.053822,4693.37082161,4693.37082161
4767.453479,4877.01656094,4877.01656094
4924.59509,5028.91372818,5028.91372818
5191.835459,5277.27489081,5277.27489081
5416.792664,5479.51962784,5479.51962784
5534.945836,5610.90105037,5610.90105037
5674.890738,5747.80551711,5747.80551711
5863.581611,5937.39546982,5937.39546982
6046.932149,6126.29920108,6126.29920108
6200.84907,6282.43348789,6282.43348789
6347.481038,6429.4312922,6429.4312922
6351.389531,6429.04662322,6429.04662322
6349.336855,6425.00291465,6425.00291465
6362.907812,6435.33778508,6435.33778508
6403.279677,6464.64198308,6464.64198308
6440.087751,6494.79645752,6494.79645752
6476.87549,6521.50144329,6521.50144329
6498.154444,6537.96235948,6537.96235948
6497.596667,6541.89745713,6541.89745713
6519.10897,6562.93270358,6562.93270358
6539.951995,6579.0953095,6579.0953095
6571.388347,6606.76222837,6606.76222837
6616.704994,6646.25907997,6646.25907997
6668.596578,6692.70647174,6692.70647174
6704.48431,6722.88939792,6722.88939792
6744.95526,6756.74860131,6756.74860131
6787.048397,6790.77841407,6790.77841407
6796.36271,6794.27574241,6794.27574241
6799.61684,6792.52031296,6792.52031296
6802.371626,6790.10103614,6790.10103614
6808.116186,6791.54773779,6791.54773779
6813.792687,6792.95539254,6792.95539254
6822.389619,6797.88854594,6797.88854594
6830.803245,6802.70841715,6802.70841715
6841.628401,6810.01822607,6810.01822607
6815.16095,6782.89587735,6782.89587735
6794.662418,6761.52887505,6761.52887505
6773.970823,6740.01474164,6740.01474164
6765.391219,6730.22530488,6730.22530488
6756.911073,6720.55988428,6720.55988428
6759.999731,6721.89032872,6721.89032872
6764.059466,6724.60364437,6724.60364437
6776.850461,6735.2882699,6735.2882699
6789.735721,6746.06970627,6746.06970627
6798.803356,6754.31421453,6754.31421453
6808.204675,6762.93427874,6762.93427874
6798.570188,6755.96834256,6755.96834256
6788.904233,6749.01687543,6749.01687543
6882.235352,6844.48639792,6844.48639792
7440.719519,7351.17479546,7351.17479546
7841.068197,7739.92435217,7739.92435217
7912.588508,7825.29090965,7825.29090965
7914.386894,7834.38819608,7834.38819608
7916.521077,7839.34658708,7839.34658708
7931.31303,7855.25753479,7855.25753479
7946.062691,7871.16564437,7871.16564437
7961.148216,7887.71063091,7887.71063091
7976.244856,7904.28104614,7904.28104614
7986.031915,7916.43144175,7916.43144175
7995.851126,7928.6273291,7928.6273291
8001.592949,7937.55045675,7937.55045675
8007.147451,7946.11804921,7946.11804921
8010.112749,7952.63457901,7952.63457901
8013.103487,7959.19980046,7959.19980046
8013.657605,7963.80298731,7963.80298731
8020.580961,7974.54626336,7974.54626336
8022.23687,7980.52942138,7980.52942138
8022.911734,7985.41780507,7985.41780507
8017.116913,7984.0067674,7984.0067674
8008.913479,7980.2800792,7980.2800792
7996.968201,7972.73129412,7972.73129412
7985.69313,7966.7663564,7966.7663564
7971.531922,7957.52413918,7957.52413918
7956.719296,7947.64560477,7947.64560477
7941.596036,7936.62333449,7936.62333449
7926.688101,7925.89770934,7925.89770934
7912.644602,7915.01782737,7915.01782737
7899.271373,7904.83604921,7904.83604921
7888.413764,7896.0555421,7896.0555421
7878.29511,7888.02806805,7888.02806805
7871.312776,7881.94669627,7881.94669627
7864.216655,7875.7335471,7875.7335471
7861.994671,7873.3182526,7873.3182526
7859.480742,7870.62292157,7870.62292157
7861.533287,7871.72352787,7871.72352787
7863.80188,7873.04926144,7873.04926144
7868.303529,7876.34070934,7876.34070934
7873.47095,7880.3292995,7880.3292995
7879.708016,7885.49052211,7885.49052211
7886.048162,7890.1188293,7890.1188293
