BILLY-25,UCVM-25,UCVM-GTL-25
885.4462849,892.210627835,157.152657439
1213.76291,1256.3759381,1256.3759381
1321.662903,1337.246812,1337.246812
1566.451923,1603.96243791,1603.96243791
1789.010036,1840.10839677,1840.10839677
2035.069062,2093.80189542,2093.80189542
2187.945952,2237.46004152,2237.46004152
2318.572368,2372.84220953,2372.84220953
2429.377709,2488.75753979,2488.75753979
2536.410269,2599.80313456,2599.80313456
2608.456255,2675.39952018,2675.39952018
2678.436471,2740.50994387,2740.50994387
2750.134487,2801.86147712,2801.86147712
2857.441307,2893.70756401,2893.70756401
2957.552618,2975.47142637,2975.47142637
3003.498312,3022.65409073,3022.65409073
3070.276328,3087.40404344,3087.40404344
3169.121611,3187.84326951,3187.84326951
3259.615236,3282.76554171,3282.76554171
3326.514702,3352.4076163,3352.4076163
3409.603495,3438.13812572,3438.13812572
3447.610042,3479.14925759,3479.14925759
3484.423583,3519.52870242,3519.52870242
3531.211642,3568.17314341,3568.17314341
3590.46762,3625.18722722,3625.18722722
3643.862645,3679.15044867,3679.15044867
3699.786424,3732.91443752,3732.91443752
3755.08604,3787.28745982,3787.28745982
3779.425352,3813.47088774,3813.47088774
3815.072895,3847.29013725,3847.29013725
3839.090892,3867.56773972,3867.56773972
3860.285594,3883.38703729,3883.38703729
3871.343864,3887.87758016,3887.87758016
3877.064437,3885.91239139,3885.91239139
3867.139573,3868.46785352,3868.46785352
3853.074571,3845.95239023,3845.95239023
3838.420927,3821.54077624,3821.54077624
3814.517643,3790.75780815,3790.75780815
3794.026428,3764.51778931,3764.51778931
3772.966413,3737.56581776,3737.56581776
3754.000715,3713.31428681,3713.31428681
3734.798574,3688.74889735,3688.74889735
3718.2409,3667.38520031,3667.38520031
3701.634329,3646.02226144,3646.02226144
3687.851015,3627.68872626,3627.68872626
3684.318097,3624.70682238,3624.70682238
3686.735779,3627.64353633,3627.64353633
3689.139227,3630.62190504,3630.62190504
3701.927859,3643.6372426,3643.6372426
3714.7007,3656.66915725,3656.66915725
3737.336586,3679.05869589,3679.05869589
3760.319527,3702.10116763,3702.10116763
3790.066109,3731.34218531,3731.34218531
3820.336832,3761.14563552,3761.14563552
3846.763641,3788.19116378,3788.19116378
3873.442057,3815.45820992,3815.45820992
3883.326317,3828.84093387,3828.84093387
3892.903879,3841.90972395,3841.90972395
3965.713468,3919.68520031,3919.68520031
4317.032903,4244.95424567,4244.95424567
4551.33902,4476.37239908,4476.37239908
4591.291027,4526.27320338,4526.27320338
4593.757609,4533.76037255,4533.76037255
4596.570265,4538.9064852,4538.9064852
4610.431342,4553.70872741,4553.70872741
4624.244125,4568.48898731,4568.48898731
4638.394883,4583.92524837,4583.92524837
4652.508304,4599.33263668,4599.33263668
4662.149846,4611.06375702,4611.06375702
4671.803072,4622.81623337,4622.81623337
4678.001015,4631.82314956,4631.82314956
4684.058208,4640.54262053,4640.54262053
4687.964994,4647.5817301,4647.5817301
4691.879204,4654.63821069,4654.63821069
4693.763837,4660.05838255,4660.05838255
4701.521376,4671.11052172,4671.11052172
4704.880527,4678.17213495,4678.17213495
4707.660715,4684.50668435,4684.50668435
4704.63233,4685.21065744,4685.21065744
4699.43669,4683.83238024,4683.83238024
4691.143403,4679.27359016,4679.27359016
4683.023095,4675.4250396,4675.4250396
4672.776371,4669.10702115,4669.10702115
4660.995479,4661.43820531,4661.43820531
4648.953033,4652.86999308,4652.86999308
4637.104098,4644.51077662,4644.51077662
4625.99694,4635.98377316,4635.98377316
4615.703633,4628.27589735,4628.27589735
4607.395517,4621.58013264,4621.58013264
4599.061626,4614.8185098,4614.8185098
4593.275917,4609.6060842,4609.6060842
4587.329377,4604.22582737,4604.22582737
4585.613472,4602.15907843,4602.15907843
4583.638716,4599.84484429,4599.84484429
4585.704383,4600.9085544,4600.9085544
4587.947143,4602.1577228,4602.1577228
4592.191699,4605.17720723,4605.17720723
4597.022265,4608.81092849,4608.81092849
4602.729319,4613.40978893,4613.40978893
4608.495636,4617.3858516,4617.3858516
