BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
1747.164937,1755.39399923,1743.13378816,1750.213,1703.67
2422.776594,2448.94584544,2471.38481968,2323.997,2227.849
2574.058001,2596.31320146,2591.3842649,2472.748,2414.694
2867.428858,2883.27409573,2920.63049789,2597.532,2553.24
3152.6503,3163.26186313,3228.12383737,2780.48,2777.289
3480.521669,3484.4774283,3573.34253941,3409.118,4143.367
3731.109812,3731.88011611,3812.35851019,4078.548,4220.237
3972.003614,3974.05312726,4062.57802384,4252.256,4334.197
4209.791273,4212.05238255,4308.82811726,4403.978,4572.295
4427.445221,4430.14430065,4532.09592272,4632.029,4817.914
4584.053822,4586.91823376,4693.37082161,4804.046,5000.41
4767.453479,4768.82617647,4877.01656094,5017.898,5189.658
4924.59509,4921.1157401,5028.91372818,5412.714,5391.904
5191.835459,5183.10987543,5277.27489081,5522.652,5553.376
5416.792664,5406.03254248,5479.51962784,5650.578,5698.086
5534.945836,5527.22327682,5610.90105037,5864.466,5863.683
5674.890738,5669.33518147,5747.80551711,6018.295,5746.173
5863.581611,5853.14956017,5937.39546982,6095.603,5803.273
6046.932149,6032.03341061,6126.29920108,5964.513,5992.807
6200.84907,6184.21710458,6282.43348789,6144.143,6179.578
6347.481038,6328.76995233,6429.4312922,6314.925,6361.185
6351.389531,6333.16914264,6429.04662322,6311.882,6362.185
6349.336855,6331.74336371,6425.00291465,6316.895,6369.766
6362.907812,6347.00532757,6435.33778508,6327.029,6381.316
6403.279677,6388.72183775,6464.64198308,6348.79,6401.488
6440.087751,6425.77760323,6494.79645752,6371.694,6422.344
6476.87549,6463.35135909,6521.50144329,6393.152,6438.164
6498.154444,6482.36113033,6537.96235948,6412.652,6464.295
6497.596667,6483.04341407,6541.89745713,6425.72,6479.877
6519.10897,6505.17596617,6562.93270358,6471.568,6508.842
6539.951995,6526.93285083,6579.0953095,6515.704,6535.19
6571.388347,6559.23375125,6606.76222837,6575.315,6581.742
6616.704994,6605.20413956,6646.25907997,6642.123,6645.552
6668.596578,6657.66330488,6692.70647174,6715.83,6718.735
6704.48431,6694.55464706,6722.88939792,6769.407,6774.693
6744.95526,6736.04053633,6756.74860131,6827.676,6835.102
6787.048397,6779.29416993,6790.77841407,6883.01,6889.118
6796.36271,6789.94503422,6794.27574241,6893.17,6894.352
6799.61684,6794.28842368,6792.52031296,6891.634,6888.39
6802.371626,6798.11628527,6790.10103614,6889.166,6881.082
6808.116186,6804.75180892,6791.54773779,6887.551,6876.955
6813.792687,6811.305594,6792.95539254,6885.486,6872.398
6822.389619,6820.76230027,6797.88854594,6884.595,6870.392
6830.803245,6830.02098039,6802.70841715,6882.938,6868.203
6841.628401,6841.789599,6810.01822607,6882.094,6866.696
6815.16095,6815.71594156,6782.89587735,6833.885,6816.788
6794.662418,6795.69064321,6761.52887505,6792.335,6772.154
6773.970823,6775.45873087,6740.01474164,6750.434,6727.38
6765.391219,6767.26046482,6730.22530488,6725.35,6697.533
6756.911073,6759.13775779,6720.55988428,6700.555,6668.094
6759.999731,6762.37575087,6721.89032872,6695.433,6655.647
6764.059466,6766.56898078,6724.60364437,6691.509,6644.892
6776.850461,6779.27608228,6735.2882699,6704.613,6648.533
6789.735721,6792.02048866,6746.06970627,6718.489,6653.006
6798.803356,6800.70928258,6754.31421453,6735.538,6661.656
6808.204675,6809.71309304,6762.93427874,6753.46,6671.229
6798.570188,6799.4000396,6755.96834256,6754.261,6668.714
6788.904233,6789.0453714,6749.01687543,6755.194,6666.601
6882.235352,6872.02626413,6844.48639792,6746.08,6658.75
7440.719519,7420.92185006,7351.17479546,7907.062,7723.894
7841.068197,7832.46218877,7739.92435217,7964.722,7784.29
7912.588508,7911.86483314,7825.29090965,7973.595,7798.792
7914.386894,7915.92710765,7834.38819608,7987.146,7818.744
7916.521077,7916.77727067,7839.34658708,8000.134,7838.187
7931.31303,7930.99998155,7855.25753479,8021.579,7863.587
7946.062691,7945.17248251,7871.16564437,8042.934,7888.956
7961.148216,7960.18930334,7887.71063091,8059.482,7909.948
7976.244856,7975.21565206,7904.28104614,8076.054,7931.01
7986.031915,7985.15837101,7916.43144175,8082.713,7943.856
7995.851126,7995.13365244,7928.6273291,8089.391,7956.746
8001.592949,8001.09804383,7937.55045675,8089.593,7964.673
8007.147451,8006.89075855,7946.11804921,8089.761,7972.214
8010.112749,8010.12203037,7952.63457901,8086.904,7977.426
8013.103487,8013.3785198,7959.19980046,8084.003,7982.56
8013.657605,8014.20942945,7963.80298731,8079.06,7986.039
8020.580961,8021.41318493,7974.54626336,8081.558,7996.555
8022.23687,8023.32855671,7980.52942138,8078.462,8001.9
8022.911734,8024.21555094,7985.41780507,8074.913,8006.483
8017.116913,8018.61620953,7984.0067674,8064.554,8004.194
8008.913479,8010.59707574,7980.2800792,8050.958,7998.866
7996.968201,7998.7517451,7972.73129412,8033.84,7989.757
7985.69313,7987.46167628,7966.7663564,8017.329,7982.35
7971.531922,7973.16269127,7957.52413918,7998.854,7972.319
7956.719296,7958.21520108,7947.64560477,7979.599,7961.516
7941.596036,7942.86549558,7936.62333449,7960.467,7949.288
7926.688101,7927.72821146,7925.89770934,7941.36,7937.504
7912.644602,7913.42320761,7915.01782737,7923.242,7925.294
7899.271373,7899.79607228,7904.83604921,7906.53,7914.615
7888.413764,7888.72815648,7896.0555421,7892.159,7904.05
7878.29511,7878.40250711,7888.02806805,7878.74,7893.892
7871.312776,7871.27702999,7881.94669627,7867.727,7884.038
7864.216655,7864.03849289,7875.7335471,7856.55,7873.951
7861.994671,7861.72046175,7873.3182526,7850.625,7867.549
7859.480742,7859.1064875,7870.62292157,7844.399,7860.859
7861.533287,7861.07907574,7871.72352787,7843.974,7859.027
7863.80188,7863.26837755,7873.04926144,7843.733,7857.387
7868.303529,7867.69804498,7876.34070934,7847.195,7859.198
7873.47095,7872.78711765,7880.3292995,7851.348,7861.731
7879.708016,7878.95476471,7885.49052211,7857.5,7866.476
7886.048162,7885.22237793,7890.1188293,7863.692,7868.303
