BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
885.4462849,888.676340638,892.210627835,870.391,854.836
1213.76291,1229.98920992,1256.3759381,1150.846,1103.521
1321.662903,1336.61134141,1337.246812,1251.903,1218.808
1566.451923,1577.90005229,1603.96243791,1377.226,1347.437
1789.010036,1796.56213149,1840.10839677,1571.608,1567.705
2035.069062,2038.234599,2093.80189542,2030.756,2507.941
2187.945952,2188.7696782,2237.46004152,2445.798,2513.132
2318.572368,2320.14330411,2372.84220953,2487.323,2569.86
2429.377709,2430.4653887,2488.75753979,2562.916,2675.747
2536.410269,2537.09698616,2599.80313456,2677.04,2774.311
2608.456255,2608.97686967,2675.39952018,2737.345,2839.035
2678.436471,2678.6025521,2740.50994387,2779.713,2899.932
2750.134487,2748.04293003,2801.86147712,2932.692,2984.918
2857.441307,2853.00533026,2893.70756401,2960.677,3038.224
2957.552618,2952.06512495,2975.47142637,3030.08,3095.24
3003.498312,2999.74962514,3022.65409073,3179.208,3181.674
3070.276328,3067.513396,3087.40404344,3287.626,2976.352
3169.121611,3163.17465744,3187.84326951,3327.839,2940.465
3259.615236,3250.99119262,3282.76554171,3049.667,3058.315
3326.514702,3316.5009654,3352.4076163,3154.299,3174.636
3409.603495,3398.10842561,3438.13812572,3269.208,3298.596
3447.610042,3435.16803422,3479.14925759,3328.084,3362.718
3484.423583,3471.55493426,3519.52870242,3395.966,3432.802
3531.211642,3518.21877893,3568.17314341,3463.356,3503.606
3590.46762,3576.91663476,3625.18722722,3536.687,3577.752
3643.862645,3629.51587889,3679.15044867,3605.536,3647.687
3699.786424,3685.27079469,3732.91443752,3668.38,3708.522
3755.08604,3739.25390542,3787.28745982,3736.898,3779.941
3779.425352,3764.35231526,3813.47088774,3773.93,3817.884
3815.072895,3800.46568589,3847.29013725,3828.335,3862.184
3839.090892,3825.28948635,3867.56773972,3870.202,3892.524
3860.285594,3847.56259862,3883.38703729,3909.106,3920.243
3871.343864,3859.85465782,3887.87758016,3932.027,3934.609
3877.064437,3867.02670511,3885.91239139,3947.013,3940.448
3867.139573,3858.91902384,3868.46785352,3939.68,3926.594
3853.074571,3846.86553941,3845.95239023,3926.498,3904.677
3838.420927,3834.35213956,3821.54077624,3906.384,3871.275
3814.517643,3812.3481511,3790.75780815,3869.273,3821.651
3794.026428,3793.35955094,3764.51778931,3833.051,3775.722
3772.966413,3773.79919839,3737.56581776,3796.296,3728.629
3754.000715,3756.15982391,3713.31428681,3760.253,3683.857
3734.798574,3738.28175202,3688.74889735,3723.812,3638.376
3718.2409,3723.02038139,3667.38520031,3688.559,3595.062
3701.634329,3707.69860323,3646.02226144,3652.721,3551.509
3687.851015,3695.27375317,3627.68872626,3618.122,3509.375
3684.318097,3691.74250865,3624.70682238,3603.913,3498.259
3686.735779,3694.20707728,3627.64353633,3596.229,3493.204
3689.139227,3696.64149327,3630.62190504,3588.6,3488.64
3701.927859,3709.38932872,3643.6372426,3595.786,3496.971
3714.7007,3722.09953979,3656.66915725,3603.207,3505.582
3737.336586,3744.4959085,3679.05869589,3627.473,3528.711
3760.319527,3767.27059516,3702.10116763,3651.59,3551.891
3790.066109,3796.57675356,3731.34218531,3689.735,3587.354
3820.336832,3826.37076201,3761.14563552,3728.97,3624.069
3846.763641,3852.13071934,3788.19116378,3770.12,3663.79
3873.442057,3878.13038024,3815.45820992,3812.167,3704.626
3883.326317,3887.10383622,3828.84093387,3838.69,3734.291
3892.903879,3895.76539792,3841.90972395,3864.728,3763.636
3965.713468,3961.27393849,3919.68520031,3880.467,3786.061
4317.032903,4305.96891811,4244.95424567,4597.059,4456.304
4551.33902,4546.33553057,4476.37239908,4630.069,4492.104
4591.291027,4590.27606844,4526.27320338,4637.153,4503.889
4593.757609,4593.74853941,4533.76037255,4649.4,4521.472
4596.570265,4595.47285275,4538.9064852,4661.397,4538.823
4610.431342,4608.86652634,4553.70872741,4680.917,4561.675
4624.244125,4622.20778739,4568.48898731,4700.436,4584.552
4638.394883,4636.32007074,4583.92524837,4715.896,4603.775
4652.508304,4650.39926221,4599.33263668,4731.393,4623.059
4662.149846,4660.18810073,4611.06375702,4738.485,4635.403
4671.803072,4669.99057478,4622.81623337,4745.594,4647.779
4678.001015,4676.38084506,4631.82314956,4747.156,4655.94
4684.058208,4682.64434025,4640.54262053,4748.731,4663.805
4687.964994,4686.77127874,4647.5817301,4747.702,4669.703
4691.879204,4690.907188,4654.63821069,4746.668,4675.567
4693.763837,4693.01972626,4660.05838255,4743.921,4680.084
4701.521376,4701.04614072,4671.11052172,4748.014,4691.017
4704.880527,4704.66171549,4678.17213495,4747.563,4697.709
4707.660715,4707.68829719,4684.50668435,4747.035,4703.94
4704.63233,4704.86101038,4685.21065744,4740.625,4704.216
4699.43669,4699.84730757,4683.83238024,4731.486,4701.824
4691.143403,4691.65803998,4679.27359016,4719.472,4696.183
4683.023095,4683.56874318,4675.4250396,4707.342,4690.947
4672.776371,4673.23800346,4669.10702115,4693.248,4683.241
4660.995479,4661.36041023,4661.43820531,4677.438,4674.595
4648.953033,4649.13458554,4652.86999308,4662.032,4665.392
4637.104098,4637.10320531,4644.51077662,4647.162,4656.927
4625.99694,4625.79575279,4635.98377316,4633.492,4648.092
4615.703633,4615.30772088,4628.27589735,4621.142,4640.249
4607.395517,4606.84521607,4621.58013264,4610.143,4631.688
4599.061626,4598.35686774,4614.8185098,4599.124,4622.922
4593.275917,4592.47581238,4609.6060842,4589.937,4614.372
4587.329377,4586.43318916,4604.22582737,4580.53,4605.597
