BILLY-25,MODEL-25
1747.164937,1755.39399923
2422.776594,2448.94584544
2574.058001,2596.31320146
2867.428858,2883.27409573
3152.6503,3163.26186313
3480.521669,3484.4774283
3731.109812,3731.88011611
3972.003614,3974.05312726
4209.791273,4212.05238255
4427.445221,4430.14430065
4584.053822,4586.91823376
4767.453479,4768.82617647
4924.59509,4921.1157401
5191.835459,5183.10987543
5416.792664,5406.03254248
5534.945836,5527.22327682
5674.890738,5669.33518147
5863.581611,5853.14956017
6046.932149,6032.03341061
6200.84907,6184.21710458
6347.481038,6328.76995233
6351.389531,6333.16914264
6349.336855,6331.74336371
6362.907812,6347.00532757
6403.279677,6388.72183775
6440.087751,6425.77760323
6476.87549,6463.35135909
6498.154444,6482.36113033
6497.596667,6483.04341407
6519.10897,6505.17596617
6539.951995,6526.93285083
6571.388347,6559.23375125
6616.704994,6605.20413956
6668.596578,6657.66330488
6704.48431,6694.55464706
6744.95526,6736.04053633
6787.048397,6779.29416993
6796.36271,6789.94503422
6799.61684,6794.28842368
6802.371626,6798.11628527
6808.116186,6804.75180892
6813.792687,6811.305594
6822.389619,6820.76230027
6830.803245,6830.02098039
6841.628401,6841.789599
6815.16095,6815.71594156
6794.662418,6795.69064321
6773.970823,6775.45873087
6765.391219,6767.26046482
6756.911073,6759.13775779
6759.999731,6762.37575087
6764.059466,6766.56898078
6776.850461,6779.27608228
6789.735721,6792.02048866
6798.803356,6800.70928258
6808.204675,6809.71309304
6798.570188,6799.4000396
6788.904233,6789.0453714
6882.235352,6872.02626413
7440.719519,7420.92185006
7841.068197,7832.46218877
7912.588508,7911.86483314
7914.386894,7915.92710765
7916.521077,7916.77727067
7931.31303,7930.99998155
7946.062691,7945.17248251
7961.148216,7960.18930334
7976.244856,7975.21565206
7986.031915,7985.15837101
7995.851126,7995.13365244
8001.592949,8001.09804383
8007.147451,8006.89075855
8010.112749,8010.12203037
8013.103487,8013.3785198
8013.657605,8014.20942945
8020.580961,8021.41318493
8022.23687,8023.32855671
8022.911734,8024.21555094
8017.116913,8018.61620953
8008.913479,8010.59707574
7996.968201,7998.7517451
7985.69313,7987.46167628
7971.531922,7973.16269127
7956.719296,7958.21520108
7941.596036,7942.86549558
7926.688101,7927.72821146
7912.644602,7913.42320761
7899.271373,7899.79607228
7888.413764,7888.72815648
7878.29511,7878.40250711
7871.312776,7871.27702999
7864.216655,7864.03849289
7861.994671,7861.72046175
7859.480742,7859.1064875
7861.533287,7861.07907574
7863.80188,7863.26837755
7868.303529,7867.69804498
7873.47095,7872.78711765
7879.708016,7878.95476471
7886.048162,7885.22237793
