PO-MODEL-0,PO-UCVM-0
5932.7852,5921.724
5932.6201,5921.573
5919.7612,5911.467
6018.9312,6015.856
6103.4619,6102.772
6170.5479,6172.318
6218.7051,6222.512
6257.5249,6263.186
6309.3242,6317.275
6362.9458,6373.271
6412.7769,6426.352
6466.5732,6482.319
6508.814,6527.387
6520.4961,6541.786
6526.4941,6550.138
6532.5171,6557.603
6535.8721,6562.186
6536.9438,6564.624
6541.0342,6569.183
6545.3232,6573.904
6554.8872,6582.586
6541.542,6571.112
6533.25,6563.553
6525.0791,6556.102
6521.8618,6552.64
6518.7559,6549.291
6520.2251,6549.915
6522.3511,6551.269
6529.8379,6557.347
6538.752,6565.042
6549.311,6574.314
6563.895,6587.631
6595.3511,6619.505
6631.439,6655.684
6651.4878,6674.478
6673.8711,6695.614
6692.9941,6714.094
6706.5112,6727.012
6712.7271,6732.823
6719.0571,6738.727
6721.6948,6741.112
6724.436,6743.64
6724.4219,6743.614
6724.4409,6743.62
6722.8232,6742.113
6722.6709,6740.814
6722.0972,6739.089
6721.5439,6737.383
6721.2222,6735.841
6720.9199,6734.319
6721.4849,6733.639
6721.8701,6732.636
6723.5962,6733.35
6725.4141,6734.161
6728.5869,6736.573
6731.769,6738.992
6736.3979,6742.96
6741.0278,6746.932
6747.1968,6752.363
6753.3682,6757.793
6760.958,6764.55
6768.709,6771.893
6778.0479,6780.412
6775.3652,6777.364
6774.25,6775.997
6773.145,6774.639
6773.6709,6775.029
6774.21,6775.43
6775.6958,6776.886
6777.2002,6778.359
6779.4849,6780.664
6781.8159,6783.079
6786.0181,6787.372
6790.2349,6791.675
6796.5049,6798.105
6801.5391,6803.183
6806.144,6808.162
6811.1709,6813.563
7867.5781,7869.814
7876.1152,7878.878
7884.2041,7887.904
7892.2681,7896.938
7899.7881,7905.667
7907.3872,7914.494
7914.1909,7922.572
7921.0742,7930.743
7926.395,7937.15
7931.7881,7943.642
7934.5469,7947.177
7937.3252,7950.734
7936.8999,7950.624
7936.5078,7950.551
7933.7969,7947.675
7931.124,7944.835
7928.6221,7941.855
7926.1792,7938.932
7925.9448,7938.051
7925.8052,7937.231
7927.5972,7938.439
7929.396,7937.706
