PO-MODEL-0,PO-UCVM-0
3204.2329,3195.662
3204.1589,3195.597
3191.2339,3185.624
3245.7019,3244.976
3296.8689,3300.035
3347.5081,3354.594
3386.6389,3396.532
3417.2639,3429.747
3467.0359,3482.028
3536.8181,3552.45
3629.947,3644.063
3748.0481,3756.804
3866.6641,3868.461
3949.323,3944.983
3996.0669,3987.607
3999.3511,3989.539
3979.6079,3970.556
3959.856,3951.984
3942.6121,3935.11
3925.4399,3918.299
3912.7161,3904.745
3873.2241,3870.453
3838.1431,3839.547
3803.0911,3808.67
3772.498,3781.343
3741.655,3753.793
3714.946,3729.807
3695.7019,3712.707
3690.7871,3708.696
3689.8491,3708.967
3696.542,3716.577
3718.6421,3738.933
3760.3501,3780.905
3811.604,3831.591
3854.9031,3873.5
3902.228,3919.111
3939.9519,3955.516
3953.9441,3968.539
3956.5559,3970.5
3959.3191,3972.613
3958.8491,3971.658
3958.467,3970.825
3955.6631,3967.757
3952.856,3964.686
3948.6221,3960.305
3944.436,3955.586
3939.8889,3950.509
3935.353,3945.445
3930.9939,3940.503
3926.6431,3935.568
3922.97,3931.273
3919.103,3926.656
3916.4839,3923.645
3913.8779,3920.626
3912.3889,3918.93
3910.9031,3917.236
3910.6411,3916.845
3910.375,3916.451
3911.4109,3917.286
3912.448,3918.122
3914.665,3920.055
3917.1279,3922.605
3920.8291,3926.03
3918.5491,3923.409
3917.625,3922.234
3916.708,3921.067
3917.231,3921.435
3917.761,3921.81
3919.1379,3923.119
3920.531,3924.445
3922.582,3926.469
3924.6899,3928.606
3928.3921,3932.339
3932.1021,3936.076
3937.541,3941.61
3941.6489,3945.738
3945.3669,3949.774
3949.4651,3954.196
4551.6719,4553.566
4558.1592,4560.448
4564.188,4567.259
4570.2002,4574.082
4575.8418,4580.735
4581.5781,4587.494
4586.6558,4593.631
4591.8218,4599.867
4595.623,4604.564
4599.501,4609.35
4601.084,4611.565
4602.688,4613.803
4601.4912,4612.851
4600.3252,4611.931
4597.1089,4608.561
4593.9189,4605.213
4590.8071,4601.694
4587.7461,4598.223
4586.5459,4596.486
4585.4038,4594.779
4585.9429,4594.84
4586.4858,4593.271
