BILLY-25,UCVM-25,UCVM-GTL-25
3571.578404,3586.73083391,779.56049481
3574.992564,3590.16343983,3590.16343983
3854.815602,3874.92987697,3874.92987697
4224.663606,4248.23990042,4248.23990042
4566.390977,4586.10110688,4586.10110688
4978.315479,4991.77625106,4991.77625106
5310.873879,5313.32773702,5313.32773702
5639.127524,5631.02632026,5631.02632026
5871.831965,5852.519589,5852.519589
6110.795863,6080.66281315,6080.66281315
6243.439458,6209.26331103,6209.26331103
6383.193795,6346.38741638,6346.38741638
6427.518793,6393.8677451,6393.8677451
6442.05707,6412.37344214,6412.37344214
6426.115502,6402.07586198,6402.07586198
6412.917028,6394.31718724,6394.31718724
6410.338128,6396.42951634,6396.42951634
6404.954287,6395.53941561,6395.53941561
6414.827601,6409.29022491,6409.29022491
6424.394291,6422.83446251,6422.83446251
6414.525186,6416.18472126,6416.18472126
6380.221223,6383.16004652,6383.16004652
6322.731034,6325.58529988,6325.58529988
6266.763479,6269.52402038,6269.52402038
6192.976424,6194.09603652,6194.09603652
6115.280265,6114.84634256,6114.84634256
6048.389996,6045.67866936,6045.67866936
6002.821976,5998.17470742,5998.17470742
5969.747974,5964.22366513,5964.22366513
5944.996894,5939.248802,5939.248802
5968.070161,5963.77945675,5963.77945675
6001.849254,5999.84056324,5999.84056324
6086.18669,6087.9122426,6087.9122426
6183.551096,6189.37669589,6189.37669589
6261.254398,6269.13070857,6269.13070857
6345.921661,6355.60978278,6355.60978278
6416.191392,6425.71979316,6425.71979316
6467.792015,6474.84642907,6474.84642907
6502.173702,6506.5946386,6506.5946386
6536.235163,6538.00155479,6538.00155479
6572.109277,6572.07596117,6572.07596117
6607.582007,6605.74303422,6605.74303422
6645.311123,6642.49277009,6642.49277009
6682.746213,6678.94986736,6678.94986736
6715.525479,6711.4327574,6711.4327574
6713.160085,6711.06004075,6711.06004075
6706.971242,6706.95293349,6706.95293349
6700.539077,6702.58963745,6702.58963745
6693.050861,6696.73646213,6696.73646213
6685.328362,6690.6401707,6690.6401707
6671.499646,6677.70091696,6677.70091696
6658.702276,6665.61716724,6665.61716724
6651.658589,6658.9320892,6658.9320892
6641.550384,6649.18395656,6649.18395656
6635.385171,6642.7831015,6642.7831015
6628.966997,6636.12677547,6636.12677547
6632.446025,6638.43684275,6638.43684275
6635.691388,6640.50539754,6640.50539754
6660.686144,6662.46664168,6662.46664168
6706.128293,6694.87050096,6694.87050096
6978.218923,6924.59407689,6924.59407689
7203.694371,7122.20944598,7122.20944598
7461.775021,7358.81839485,7358.81839485
7733.897812,7641.68692042,7641.68692042
7883.358804,7826.82030604,7826.82030604
7967.332807,7947.5424629,7947.5424629
7977.967339,7974.13213956,7974.13213956
7987.569366,7988.3727524,7988.3727524
7984.829331,7987.80425106,7987.80425106
7981.997762,7987.1543218,7987.1543218
7983.044391,7989.39424529,7989.39424529
7983.696624,7991.29684967,7991.29684967
7992.168451,8000.56785275,8000.56785275
8000.59594,8009.79295079,8009.79295079
8013.634068,8023.24990888,8023.24990888
8021.651942,8031.35542637,8031.35542637
8025.855267,8035.09240408,8035.09240408
8023.700661,8032.34075279,8032.34075279
8019.608001,8027.38734948,8027.38734948
8014.976597,8021.91338331,8021.91338331
8007.657705,8013.61298231,8013.61298231
8000.823545,8005.62317993,8005.62317993
7992.697843,7996.36451749,7996.36451749
7984.692457,7987.25098424,7987.25098424
7974.607778,7976.24852326,7976.24852326
7964.970396,7965.73696194,7965.73696194
7951.79649,7951.97180431,7951.97180431
7939.361938,7938.99072933,7938.99072933
7925.231161,7924.57131949,7924.57131949
7910.83133,7909.88627528,7909.88627528
7895.465098,7894.30386351,7894.30386351
7880.129938,7878.75401845,7878.75401845
7865.497017,7863.84589965,7863.84589965
7850.424802,7848.48515302,7848.48515302
7834.924821,7832.55805729,7832.55805729
7820.447182,7817.67683891,7817.67683891
7806.049946,7802.88389466,7802.88389466
7793.272388,7789.72033564,7789.72033564
7782.343968,7778.56274048,7778.56274048
7771.447793,7769.03002999,7769.03002999
