BILLY-25,UCVM-25,UCVM-GTL-25
2185.957782,2197.20442407,171.267001153
2187.905317,2199.11305652,2199.11305652
2400.340442,2414.81059246,2414.81059246
2661.561869,2678.83901115,2678.83901115
2876.657463,2892.20258708,2892.20258708
3109.453891,3122.91895771,3122.91895771
3266.020269,3272.9535298,3272.9535298
3426.857578,3426.90353018,3426.90353018
3514.435675,3507.1937178,3507.1937178
3609.26075,3594.85857363,3594.85857363
3640.443153,3624.18186005,3624.18186005
3675.245406,3658.06672511,3658.06672511
3672.643652,3658.83281622,3658.83281622
3668.798762,3658.20917416,3658.20917416
3665.604913,3659.07684045,3659.07684045
3668.486255,3665.13804883,3665.13804883
3693.407793,3692.82328681,3692.82328681
3712.720992,3714.92438408,3714.92438408
3754.889289,3759.43610919,3759.43610919
3797.587743,3804.48468128,3804.48468128
3824.853322,3833.44952672,3833.44952672
3789.450957,3799.11898616,3799.11898616
3730.937493,3740.51866897,3740.51866897
3673.472084,3682.97059362,3682.97059362
3598.791276,3606.78812995,3606.78812995
3511.464748,3518.20701692,3518.20701692
3432.138797,3436.90734525,3436.90734525
3396.422288,3398.92664168,3398.92664168
3357.63476,3358.83957132,3358.83957132
3323.449097,3323.43227451,3323.43227451
3328.512741,3328.53128989,3328.53128989
3345.782084,3346.15145098,3346.15145098
3410.805413,3412.65670204,3412.65670204
3489.35887,3492.99038408,3492.99038408
3547.931253,3551.79288889,3551.79288889
3613.220427,3617.19055363,3617.19055363
3661.794487,3664.75610996,3664.75610996
3695.210185,3696.44438101,3696.44438101
3714.169127,3713.76161207,3713.76161207
3733.224183,3731.15521376,3731.15521376
3753.354118,3750.31995886,3750.31995886
3773.299031,3769.31310996,3769.31310996
3794.841596,3790.61297693,3790.61297693
3816.251622,3811.80183007,3811.80183007
3833.770019,3829.63366436,3829.63366436
3831.363914,3828.9642672,3828.9642672
3825.778827,3825.14439639,3825.14439639
3820.096717,3821.22319108,3821.22319108
3813.501588,3815.96997001,3815.96997001
3806.802564,3810.61205113,3810.61205113
3794.935098,3799.41018493,3799.41018493
3784.00118,3788.91567166,3788.91567166
3777.957955,3783.11136101,3783.11136101
3769.336205,3774.71057785,3774.71057785
3764.132926,3769.19844637,3769.19844637
3758.764371,3763.52197155,3763.52197155
3762.105029,3765.72841638,3765.72841638
3765.31822,3767.80647943,3767.80647943
3787.162695,3786.94816263,3786.94816263
3821.94887,3812.68503153,3812.68503153
4005.697086,3968.7353391,3968.7353391
4160.954145,4105.23401653,4105.23401653
4336.342684,4266.84320069,4266.84320069
4521.729585,4459.07559823,4459.07559823
4624.238912,4585.42425759,4585.42425759
4684.810627,4670.5075544,4670.5075544
4693.871961,4690.66250865,4690.66250865
4702.489389,4703.12403076,4703.12403076
4701.034298,4703.51840946,4703.51840946
4699.54075,4703.88122184,4703.88122184
4701.481346,4706.839599,4706.839599
4703.078516,4709.49792003,4709.49792003
4711.317528,4718.41379277,4718.41379277
4719.497682,4727.26623914,4727.26623914
4731.558039,4739.67810996,4739.67810996
4742.001842,4750.22742753,4750.22742753
4749.340627,4757.17569243,4757.17569243
4753.359562,4760.6990719,4760.6990719
4753.306874,4759.91300038,4759.91300038
4751.953245,4757.83513226,4757.83513226
4747.916701,4752.96218454,4752.96218454
4743.510108,4747.58409266,4747.58409266
4737.670973,4740.79403614,4740.79403614
4731.550661,4733.75258554,4733.75258554
4723.645344,4725.07835794,4725.07835794
4715.966248,4716.67440254,4716.67440254
4705.410292,4705.62851557,4705.62851557
4695.264045,4695.01915379,4695.01915379
4683.618777,4683.1073218,4683.1073218
4671.694306,4670.90598385,4670.90598385
4658.905732,4657.89090388,4657.89090388
4646.069466,4644.82465283,4644.82465283
4633.593641,4632.07668743,4632.07668743
4620.715848,4618.91335256,4618.91335256
4607.312634,4605.11608997,4605.11608997
4594.741407,4592.17130988,4592.17130988
4582.084748,4579.15510957,4579.15510957
4571.024341,4567.74613764,4567.74613764
4561.286175,4557.78157901,4557.78157901
4551.585125,4549.06113725,4549.06113725
