BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
3571.578404,3583.09217762,3586.73083391,3440.999,3484.845
3574.992564,3586.49635525,3590.16343983,3444.785,3488.659
3854.815602,3865.34539023,3874.92987697,3731.326,3783.33
4224.663606,4233.64815686,4248.23990042,4116.608,4162.319
4566.390977,4575.1762376,4586.10110688,4455.807,4485.466
4978.315479,4985.51928258,4991.77625106,4888.635,4894.535
5310.873879,5316.40355133,5313.32773702,5251.955,5237.124
5639.127524,5642.90908727,5631.02632026,5612.619,5580.186
5871.831965,5874.51152249,5852.519589,5869.202,5812.293
6110.795863,6112.35874394,6080.66281315,6127.985,6048.351
6243.439458,6244.24236217,6209.26331103,6252.162,6162.588
6383.193795,6383.89699808,6346.38741638,6366.838,6276.826
6427.518793,6428.17358285,6393.8677451,6385.229,6308.706
6442.05707,6443.00575663,6412.37344214,6378.564,6318.533
6426.115502,6427.21649443,6402.07586198,6357.552,6317.645
6412.917028,6414.11875202,6394.31718724,6343.54,6323.151
6410.338128,6411.33913725,6396.42951634,6356.366,6353.338
6404.954287,6405.71038639,6395.53941561,6367.719,6381.048
6414.827601,6415.0733318,6409.29022491,6398.785,6427.596
6424.394291,6424.09499462,6422.83446251,6430.667,6475.365
6414.525186,6413.49289735,6416.18472126,6437.306,6494.511
6380.221223,6378.19918185,6383.16004652,6422.316,6478.243
6322.731034,6319.94966398,6325.58529988,6373.256,6422.933
6266.763479,6263.27963937,6269.52402038,6325.142,6368.665
6192.976424,6189.30655902,6194.09603652,6248.24,6281.528
6115.280265,6111.5448193,6114.84634256,6166.319,6189.586
6048.389996,6045.03126797,6045.67866936,6087.515,6099.649
6002.821976,5999.63718839,5998.17470742,6031.581,6034.424
5969.747974,5967.27095271,5964.22366513,5984.035,5980.138
5944.996894,5943.22416186,5939.248802,5944.993,5935.211
5968.070161,5967.2334579,5963.77945675,5954.655,5942.735
6001.849254,6001.95518108,5999.84056324,5974.946,5963.116
6086.18669,6087.30277662,6087.9122426,6048.896,6040.821
6183.551096,6185.83290811,6189.37669589,6134.387,6131.339
6261.254398,6264.2562499,6269.13070857,6207.795,6208.383
6345.921661,6349.59217647,6355.60978278,6289.04,6293.576
6416.191392,6419.92284852,6425.71979316,6361.96,6368.606
6467.792015,6471.39046713,6474.84642907,6418.949,6424.467
6502.173702,6505.31180854,6506.5946386,6459.573,6463.399
6536.235163,6538.91416378,6538.00155479,6499.924,6502.002
6572.109277,6574.06522376,6572.07596117,6542.077,6543.985
6607.582007,6608.8182326,6605.74303422,6583.818,6585.54
6645.311123,6645.69444483,6642.49277009,6626.457,6629.694
6682.746213,6682.27701769,6678.94986736,6668.786,6673.555
6715.525479,6714.23626951,6711.4327574,6704.084,6711.971
