BILLY-25,MODEL-25,UCVM-25,MODEL-0,UCVM-0
2185.957782,2191.96636255,2197.20442407,2093.142,2138.785
2187.905317,2193.90605152,2199.11305652,2095.406,2141.058
2400.340442,2405.40698847,2414.81059246,2315.614,2367.316
2661.561869,2664.86213572,2678.83901115,2594.353,2645.025
2876.657463,2878.66678124,2892.20258708,2823.421,2869.474
3109.453891,3109.97850903,3122.91895771,3072.419,3113.413
3266.020269,3265.68183353,3272.9535298,3239.874,3271.408
3426.857578,3425.65542868,3426.90353018,3411.539,3433.884
3514.435675,3512.86696463,3507.1937178,3504.093,3512.777
3609.26075,3607.33991542,3594.85857363,3600.402,3595.745
3640.443153,3638.5816336,3624.18186005,3614.49,3603.87
3675.245406,3673.76677816,3658.06672511,3620.788,3608.606
3672.643652,3671.61682353,3658.83281622,3596.041,3590.183
3668.798762,3668.34797193,3658.20917416,3572.99,3574.521
3665.604913,3665.51062207,3659.07684045,3570.022,3581.385
3668.486255,3668.75158708,3665.13804883,3580.879,3601.81
3693.407793,3693.59663706,3692.82328681,3627.291,3657.682
3712.720992,3712.78754171,3714.92438408,3667.626,3707.235
3754.889289,3754.52225375,3759.43610919,3733.827,3782.003
3797.587743,3796.77058593,3804.48468128,3801.097,3858.065
3824.853322,3823.41925375,3833.44952672,3846.504,3909.711
3789.450957,3786.92958131,3799.11898616,3829.717,3892.188
3730.937493,3727.50433256,3740.51866897,3780.228,3837.968
3673.472084,3669.15536178,3682.97059362,3731.493,3784.563
3598.791276,3594.03398001,3606.78812995,3656.281,3701.185
3511.464748,3506.34887851,3518.20701692,3567.554,3604.58
3432.138797,3427.06566782,3436.90734525,3480.061,3508.018
3396.422288,3391.23325606,3398.92664168,3437.126,3456.699
3357.63476,3352.8998316,3358.83957132,3386.731,3399.787
3323.449097,3319.19725375,3323.43227451,3341.196,3347.639
3328.512741,3325.04434679,3328.53128989,3334.997,3337.345
3345.782084,3343.18274817,3346.15145098,3340.118,3339.185
3410.805413,3409.30912649,3412.65670204,3395.056,3393.183
3489.35887,3489.12658131,3492.99038408,3462.005,3460.096
