BILLY-25,MODEL-25
3571.578404,3583.09217762
3574.992564,3586.49635525
3854.815602,3865.34539023
4224.663606,4233.64815686
4566.390977,4575.1762376
4978.315479,4985.51928258
5310.873879,5316.40355133
5639.127524,5642.90908727
5871.831965,5874.51152249
6110.795863,6112.35874394
6243.439458,6244.24236217
6383.193795,6383.89699808
6427.518793,6428.17358285
6442.05707,6443.00575663
6426.115502,6427.21649443
6412.917028,6414.11875202
6410.338128,6411.33913725
6404.954287,6405.71038639
6414.827601,6415.0733318
6424.394291,6424.09499462
6414.525186,6413.49289735
6380.221223,6378.19918185
6322.731034,6319.94966398
6266.763479,6263.27963937
6192.976424,6189.30655902
6115.280265,6111.5448193
6048.389996,6045.03126797
6002.821976,5999.63718839
5969.747974,5967.27095271
5944.996894,5943.22416186
5968.070161,5967.2334579
6001.849254,6001.95518108
6086.18669,6087.30277662
6183.551096,6185.83290811
6261.254398,6264.2562499
6345.921661,6349.59217647
6416.191392,6419.92284852
6467.792015,6471.39046713
6502.173702,6505.31180854
6536.235163,6538.91416378
6572.109277,6574.06522376
6607.582007,6608.8182326
6645.311123,6645.69444483
6682.746213,6682.27701769
6715.525479,6714.23626951
6713.160085,6711.65612034
6706.971242,6705.35101922
6700.539077,6698.80714148
6693.050861,6691.34508266
6685.328362,6683.65170973
6671.499646,6669.98066013
6658.702276,6657.31492772
6651.658589,6650.45068935
6641.550384,6640.53587389
6635.385171,6634.57910496
6628.966997,6628.367188
6632.446025,6632.13225798
6635.691388,6635.66516225
6660.686144,6661.16727912
6706.128293,6708.27376855
6978.218923,6989.48054402
7203.694371,7213.69225682
7461.775021,7472.92052095
7733.897812,7742.00843483
7883.358804,7888.12710727
7967.332807,7971.5661288
7977.967339,7981.74142637
7987.569366,7990.87307113
7984.829331,7987.90447559
7981.997762,7984.84608612
7983.044391,7985.69843214
7983.696624,7986.16723606
7992.168451,7994.43453095
8000.59594,8002.65697539
8013.634068,8015.50949404
8021.651942,8023.34849904
8025.855267,8027.42646751
8023.700661,8025.19522376
8019.608001,8021.06724683
8014.976597,8016.40153057
8007.657705,8009.03909765
8000.823545,8002.18654018
7992.697843,7993.99671819
7984.692457,7985.92728489
7974.607778,7975.72930296
7964.970396,7965.96992311
7951.79649,7952.6301807
7939.361938,7940.03030834
7925.231161,7925.71501307
7910.83133,7911.13449673
7895.465098,7895.5983714
7880.129938,7880.09489619
7865.497017,7865.33632065
7850.424802,7850.14270627
7834.924821,7834.60484698
7820.447182,7820.08991465
7806.049946,7805.73790965
7793.272388,7793.01751519
7782.343968,7782.15247943
7771.447793,7771.31842099
