PO-MODEL-0,PO-UCVM-0
5185.0352,5178.845
5184.9541,5178.755
5175.0308,5169.496
5271.1611,5264.58
5352.397,5344.101
5433.7251,5423.713
5502.4609,5490.367
5557.9658,5544.2
5648.4712,5631.449
5751.8999,5729.453
5870.895,5839.636
5973.6602,5931.878
6072.1611,6018.536
6158.4521,6095.219
6214.5259,6145.654
6236.9458,6167.945
6246.8291,6182.012
6258.1572,6198.04
6266.8472,6212.626
6275.4268,6227.155
6281.1138,6240.548
6311.0391,6270.35
6339.6802,6300.237
6368.5332,6330.364
6396.8081,6360.838
6420.0591,6385.74
6440.7778,6408.557
6477.5361,6448.557
6504.124,6477.198
6541.6538,6517.821
6584.1182,6564.059
6642.9512,6626.904
6718.7632,6706.693
6810.3901,6802.219
6911.002,6905.706
7029.0151,7026.824
7168.9961,7169.53
7292.7539,7293.484
7398.1021,7397.765
7503.5479,7502.143
7607.6792,7604.799
7711.8818,7707.539
7815.2651,7809.283
7918.5479,7910.952
8020.792,8011.519
8015.769,8006.676
8010.5942,8001.761
8005.417,7996.849
7999.9292,7991.785
7994.438,7986.722
7986.1948,7978.979
7977.8862,7971.254
7975.4771,7968.91
7700.7842,7514.278
7561.1011,7558.352
7605.0132,7603.157
7648.3638,7647.578
7691.666,7691.964
7735.3198,7736.677
7778.9248,7781.355
7823.3081,7826.439
7817.563,7821.449
7811.6729,7815.518
7805.8398,7809.639
7800.2339,7803.72
7794.5908,7797.76
7788.5752,7791.267
7782.5508,7784.765
7776.021,7777.612
7769.4922,7770.463
7762.2612,7762.347
7755.4971,7754.758
7748.7832,7747.015
7742.0771,7739.281
7735.8301,7731.841
7729.0952,7723.976
7723.0,7716.564
7716.4619,7708.984
7711.2002,7702.529
7705.9839,7696.109
7701.6299,7690.621
7700.2788,7689.17
7699.7178,7688.638
7699.1948,7688.135
7699.0811,7688.209
7699.0,7688.308
7698.8062,7688.582
7698.6641,7688.898
7698.5508,7689.513
7698.439,7690.127
7699.0049,7691.587
7699.6152,7693.086
7701.604,7695.94
7703.5771,7698.777
7706.5,7702.372
7709.4419,7705.984
7712.3032,7709.35
7715.1191,7712.678
7717.5181,7715.551
7719.9209,7720.772
