PO-MODEL-0,PO-UCVM-0
2840.4441,2832.987
2840.387,2832.924
2830.3711,2823.284
2877.1111,2869.678
2911.707,2903.042
2946.1819,2936.271
2975.572,2964.028
2997.675,2984.909
3046.7241,3031.25
3109.0649,3089.243
3195.249,3168.524
3283.8279,3248.787
3378.6731,3334.39
3460.74,3408.835
3516.187,3459.33
3538.5081,3480.354
3545.9961,3490.016
3554.804,3501.518
3560.407,3510.976
3565.9629,3520.427
3568.3921,3528.302
3593.1521,3553.54
3616.4829,3578.528
3639.959,3603.678
3662.958,3629.13
3682.9919,3650.901
3700.762,3670.793
3727.95,3701.795
3746.959,3723.121
3772.271,3751.562
3798.4331,3781.409
3833.8201,3820.665
3878.571,3869.188
3932.3999,3926.762
3990.8149,3988.19
4059.5349,4060.268
4141.6592,4145.848
4215.0732,4220.638
4277.3569,4283.021
4339.7261,4345.49
4401.0,4406.528
4462.3262,4467.623
4522.9868,4527.928
4583.5571,4588.161
4643.3862,4647.609
4641.731,4645.66
4639.998,4643.702
4638.2681,4641.746
4636.2808,4639.674
4634.2939,4637.605
4628.6191,4631.783
4622.8091,4625.888
4626.5439,4629.44
4502.353,4419.54
4444.7031,4443.758
4468.834,4468.744
4492.5889,4493.53
4516.2979,4518.283
4540.3379,4543.345
4564.3281,4568.37
4589.0039,4593.763
4584.6069,4590.169
4580.1348,4585.82
4575.71,4581.511
4571.478,4577.168
4567.2231,4572.799
4562.6372,4567.962
4558.0469,4563.12
4553.0288,4557.723
4548.0122,4552.33
4542.4258,4546.139
4537.2271,4540.386
4532.0679,4534.496
4526.9141,4528.612
4522.1621,4522.984
4516.9482,4516.97
4512.2822,4511.33
4507.2021,4505.461
4503.228,4500.599
4499.3008,4495.774
4496.104,4491.737
4495.0342,4490.495
4494.6348,4490.035
4494.2739,4489.604
4494.2559,4489.661
4494.27,4489.744
4494.1831,4489.969
4494.145,4490.235
4494.1299,4490.755
4494.1138,4491.275
4494.6831,4492.521
4495.2891,4493.802
4497.085,4496.252
4498.8652,4498.686
4501.4678,4501.782
4504.085,4504.89
4506.647,4507.806
4509.1548,4510.673
4511.3242,4513.168
4513.4941,4517.543
